group,folder,tr,te,imb,alpha,beta,kproto,K,acc,nll,brier,ece,smooth,t_fit,t_pred,n_train,n_test,best_metric
tr10000_te10000_imb1,runs_idc_ablate/idc_tr10000_te10000_imb1_a0.8_b0.01_k64,10000,10000,1.0,0.8,0.01,64.0,64.0,0.83509,0.367368,0.23114,0.049626,0.294708,262.94974643,0.55795663,18000.0,13850.0,ece
tr10000_te10000_imb1,runs_idc_ablate/idc_tr10000_te10000_imb1_a0.1_b0.2_k256,10000,10000,1.0,0.1,0.2,256.0,256.0,0.863032,1.00024,0.241212,0.10212,0.395236,933.24333309,5.60273366,18000.0,13850.0,acc
tr10000_te10000_imb1,runs_idc_ablate/idc_tr10000_te10000_imb1_a0.8_b0.01_k32,10000,10000,1.0,0.8,0.01,32.0,32.0,0.832347,0.383872,0.237751,0.064174,0.208343,183.7016246,1.93054944,18000.0,13850.0,smooth
tr10000_te10000_imb8,runs_idc_ablate/idc_tr10000_te10000_imb8_a0.5_b0.1_k32,10000,10000,8.0,0.5,0.1,32.0,32.0,0.861588,0.344966,0.210372,0.056194,0.222098,139.90583047,2.5366715,10120.0,13850.0,ece
tr10000_te10000_imb8,runs_idc_ablate/idc_tr10000_te10000_imb8_a0.5_b0.3_k128,10000,10000,8.0,0.5,0.3,128.0,128.0,0.86787,0.485211,0.217078,0.088329,0.279533,251.69284817,3.66161902,10120.0,13850.0,acc
tr10000_te10000_imb8,runs_idc_ablate/idc_tr10000_te10000_imb8_a0.5_b0.1_k32,10000,10000,8.0,0.5,0.1,32.0,32.0,0.861588,0.344966,0.210372,0.056194,0.222098,139.90583047,2.5366715,10120.0,13850.0,smooth
tr20000_te20000_imb1,runs_idc_ablate/idc_tr20000_te20000_imb1_a0.5_b0.1_k32,20000,20000,1.0,0.5,0.1,32.0,32.0,0.864332,0.336163,0.203225,0.051999,0.328962,294.27886422,0.64496401,36000.0,13850.0,ece
tr20000_te20000_imb1,runs_idc_ablate/idc_tr20000_te20000_imb1_a0.5_b0.1_k32,20000,20000,1.0,0.5,0.1,32.0,32.0,0.864332,0.336163,0.203225,0.051999,0.328962,294.27886422,0.64496401,36000.0,13850.0,acc
tr20000_te20000_imb1,runs_idc_ablate/idc_tr20000_te20000_imb1_a0.5_b0.1_k32,20000,20000,1.0,0.5,0.1,32.0,32.0,0.864332,0.336163,0.203225,0.051999,0.328962,294.27886422,0.64496401,36000.0,13850.0,smooth
tr2000_te2000_imb1,runs_idc_ablate/idc_tr2000_te2000_imb1_a0.5_b0.1_k32,2000,2000,1.0,0.5,0.1,32.0,32.0,0.84525,0.420876,0.242041,0.027195,0.291181,15.0944249,1.38301531,3600.0,4000.0,ece
tr2000_te2000_imb1,runs_idc_ablate/idc_tr2000_te2000_imb1_a0.4_b0.01_k64,2000,2000,1.0,0.4,0.01,64.0,64.0,0.8495,0.522921,0.240698,0.048852,0.311741,12.40404821,0.76549821,3600.0,4000.0,acc
tr2000_te2000_imb1,runs_idc_ablate/idc_tr2000_te2000_imb1_a0.8_b0.9_k32,2000,2000,1.0,0.8,0.9,32.0,32.0,0.84325,0.532529,0.333853,0.157866,0.104863,11.88028287,0.21184381,3600.0,4000.0,smooth
tr2000_te2000_imb8,runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.1_k64,2000,2000,8.0,0.5,0.1,64.0,64.0,0.77475,0.665853,0.352673,0.1225,0.282445,2.92752188,0.42795102,2030.0,4000.0,ece
tr2000_te2000_imb8,runs_idc_ablate/idc_tr2000_te2000_imb8_a0.1_b0.2_k64,2000,2000,8.0,0.1,0.2,64.0,64.0,0.78625,1.050235,0.386938,0.179726,0.398395,2.80972709,0.39407146,2030.0,4000.0,acc
tr2000_te2000_imb8,runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.01_k32,2000,2000,8.0,0.8,0.01,32.0,32.0,0.57875,1.031776,0.6897,0.353453,0.050392,9.39323691,0.66273446,2030.0,4000.0,smooth
tr5000_te5000_imb1,runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.01_k32,5000,5000,1.0,0.8,0.01,32.0,32.0,0.853216,0.37271,0.226055,0.031411,0.304758,179.0821899,0.22681057,9000.0,8877.0,ece
tr5000_te5000_imb1,runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.4_k512,5000,5000,1.0,0.2,0.4,512.0,512.0,0.854793,0.722917,0.241609,0.095286,0.417195,95.28027447,6.15544421,9000.0,8877.0,acc
tr5000_te5000_imb1,runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.01_k32,5000,5000,1.0,0.8,0.01,32.0,32.0,0.853216,0.37271,0.226055,0.031411,0.304758,179.0821899,0.22681057,9000.0,8877.0,smooth
tr5000_te5000_imb8,runs_idc_ablate/idc_tr5000_te5000_imb8_a0.8_b0.01_k64,5000,5000,8.0,0.8,0.01,64.0,64.0,0.771544,0.53517,0.329269,0.090463,0.165772,67.02704576,1.03377499,5070.0,8877.0,ece
tr5000_te5000_imb8,runs_idc_ablate/idc_tr5000_te5000_imb8_a0.8_b0.9_k128,5000,5000,8.0,0.8,0.9,128.0,128.0,0.808494,0.581774,0.306714,0.098816,0.260421,19.78265079,0.97721761,5070.0,8877.0,acc
tr5000_te5000_imb8,runs_idc_ablate/idc_tr5000_te5000_imb8_a0.8_b0.01_k32,5000,5000,8.0,0.8,0.01,32.0,32.0,0.563253,0.72097,0.526395,0.298021,0.027271,42.62718631,1.09352808,5070.0,8877.0,smooth
