tag,method,acc,nll,brier,ece
moons_2class_fixed,Linear,0.856250,0.327777,0.203499,0.013301
moons_2class_fixed,kNN,0.931250,0.384097,0.108275,0.019125
moons_2class_fixed,LabelSpreading,0.916250,0.237620,0.123695,0.034937
moons_2class_fixed,GM,0.936250,0.222327,0.112457,0.023977
moons_2class_fixed,GM-flat,0.933750,0.222332,0.113033,0.025725
moons_2class_fixed,GM-instance,0.923750,0.245995,0.124922,0.095746
moons_2class_fixed,GM-centroid,0.148750,23.520908,1.702464,0.851232
moons_2class_fixed,kNN-budget(P=120),0.912500,0.368047,0.131875,0.026875
circles_2class_fixed,Linear,0.500000,1.158371,0.802810,0.389061
circles_2class_fixed,kNN,0.901250,0.707176,0.138700,0.042250
circles_2class_fixed,LabelSpreading,0.895000,0.358874,0.154073,0.060723
circles_2class_fixed,GM,0.857500,0.345208,0.214668,0.036295
circles_2class_fixed,GM-flat,0.853750,0.344122,0.213738,0.029628
circles_2class_fixed,GM-instance,0.890000,0.323035,0.186781,0.080449
circles_2class_fixed,GM-centroid,0.510000,13.539202,0.979999,0.489999
circles_2class_fixed,kNN-budget(P=67),0.786250,0.621406,0.247650,0.086500
moons_2class_fixed,Linear,0.791250,0.479907,0.300720,0.060253
moons_2class_fixed,kNN,0.883750,0.734203,0.159200,0.033750
moons_2class_fixed,LabelSpreading,0.886250,0.483972,0.178194,0.071898
moons_2class_fixed,GM,0.843750,0.340138,0.209493,0.042547
moons_2class_fixed,GM-flat,0.843750,0.341089,0.209958,0.038362
moons_2class_fixed,GM-instance,0.877500,0.352750,0.209890,0.090148
moons_2class_fixed,GM-centroid,0.178750,22.691978,1.642482,0.821241
moons_2class_fixed,kNN-budget(P=67),0.510000,1.263062,0.438925,0.298125
circles_2class_fixed,Linear,0.503750,0.698074,0.504899,0.043583
circles_2class_fixed,kNN,0.945000,0.373783,0.081350,0.025500
circles_2class_fixed,LabelSpreading,0.943750,0.200025,0.095221,0.035951
circles_2class_fixed,GM,0.948750,0.149755,0.082404,0.043466
circles_2class_fixed,GM-flat,0.947500,0.153341,0.084074,0.043341
circles_2class_fixed,GM-instance,0.948750,0.214238,0.099766,0.096695
circles_2class_fixed,GM-centroid,0.496250,13.919128,1.007498,0.503748
circles_2class_fixed,kNN-budget(P=120),0.942500,0.249721,0.092200,0.038750
circles_2class_fixed,Linear,0.500000,1.157789,0.802599,0.402840
circles_2class_fixed,kNN,0.868750,0.955049,0.163075,0.061375
circles_2class_fixed,LabelSpreading,0.882500,0.525603,0.205869,0.093241
circles_2class_fixed,GM,0.868750,0.297517,0.186609,0.017577
circles_2class_fixed,GM-flat,0.870000,0.298212,0.186540,0.024710
circles_2class_fixed,GM-instance,0.865000,0.359029,0.212089,0.096353
circles_2class_fixed,GM-centroid,0.516250,13.366508,0.967498,0.483748
circles_2class_fixed,kNN-budget(P=67),0.836250,0.689577,0.206050,0.083500
circles_2class_fixed,Linear,0.493750,0.693824,0.500676,0.012944
circles_2class_fixed,kNN,0.938750,0.515717,0.094400,0.025000
circles_2class_fixed,LabelSpreading,0.932500,0.259911,0.102729,0.044182
circles_2class_fixed,GM,0.946250,0.170862,0.093154,0.032255
circles_2class_fixed,GM-flat,0.947500,0.172352,0.093533,0.037766
circles_2class_fixed,GM-instance,0.935000,0.227625,0.109924,0.089872
circles_2class_fixed,GM-centroid,0.505000,13.677356,0.989999,0.494999
circles_2class_fixed,kNN-budget(P=120),0.943750,0.314538,0.113575,0.064375
circles_2class_fixed,Linear,0.526250,0.693875,0.500727,0.017391
circles_2class_fixed,kNN,0.948750,0.313101,0.080375,0.026375
circles_2class_fixed,LabelSpreading,0.942500,0.156908,0.087814,0.030507
circles_2class_fixed,GM,0.947500,0.152160,0.083002,0.038966
circles_2class_fixed,GM-flat,0.948750,0.156136,0.084639,0.043253
circles_2class_fixed,GM-instance,0.945000,0.214803,0.099668,0.103196
circles_2class_fixed,GM-centroid,0.477500,14.437211,1.044999,0.522498
circles_2class_fixed,kNN-budget(P=120),0.932500,0.327223,0.119925,0.056125
moons_2class_fixed,Linear,0.850000,0.308878,0.197169,0.043083
moons_2class_fixed,kNN,0.936250,0.367257,0.098425,0.018625
moons_2class_fixed,LabelSpreading,0.926250,0.211021,0.105821,0.034057
moons_2class_fixed,GM,0.931250,0.172993,0.099987,0.020754
moons_2class_fixed,GM-flat,0.932500,0.174178,0.100149,0.025535
moons_2class_fixed,GM-instance,0.936250,0.233261,0.115311,0.092032
moons_2class_fixed,GM-centroid,0.153750,23.382753,1.692454,0.846227
moons_2class_fixed,kNN-budget(P=120),0.932500,0.239112,0.107475,0.040875
circles_2class_fixed,Linear,0.500000,1.156907,0.802233,0.388640
circles_2class_fixed,kNN,0.901250,0.257683,0.126150,0.030500
circles_2class_fixed,LabelSpreading,0.907500,0.259515,0.141829,0.042086
circles_2class_fixed,GM,0.881250,0.270150,0.167104,0.026378
circles_2class_fixed,GM-flat,0.880000,0.273059,0.169111,0.031225
circles_2class_fixed,GM-instance,0.897500,0.306495,0.183754,0.083084
circles_2class_fixed,GM-centroid,0.491250,14.057284,1.017499,0.508748
circles_2class_fixed,kNN-budget(P=67),0.822500,0.400967,0.237950,0.111000
moons_2class_fixed,Linear,0.837500,0.348929,0.223092,0.041987
moons_2class_fixed,kNN,0.935000,0.590878,0.104000,0.022750
moons_2class_fixed,LabelSpreading,0.928750,0.283077,0.107216,0.035068
moons_2class_fixed,GM,0.936250,0.209426,0.111842,0.019387
moons_2class_fixed,GM-flat,0.936250,0.210922,0.112776,0.030075
moons_2class_fixed,GM-instance,0.932500,0.233945,0.116010,0.081527
moons_2class_fixed,GM-centroid,0.166250,23.037363,1.667472,0.833736
moons_2class_fixed,kNN-budget(P=120),0.941250,0.325135,0.103675,0.033375
moons_2class_fixed,Linear,0.756250,0.562408,0.354621,0.114535
moons_2class_fixed,kNN,0.825000,1.426797,0.235025,0.084375
moons_2class_fixed,LabelSpreading,0.867500,0.648487,0.227513,0.103951
moons_2class_fixed,GM,0.810000,0.667896,0.294412,0.075056
moons_2class_fixed,GM-flat,0.806250,0.667420,0.297973,0.080981
moons_2class_fixed,GM-instance,0.826250,0.446729,0.275186,0.130781
moons_2class_fixed,GM-centroid,0.155000,23.348213,1.689945,0.844972
moons_2class_fixed,kNN-budget(P=67),0.576250,1.824525,0.456100,0.247750
moons_2class_fixed,Linear,0.783750,0.501489,0.320393,0.081988
moons_2class_fixed,kNN,0.838750,0.785066,0.216500,0.052250
moons_2class_fixed,LabelSpreading,0.842500,0.565327,0.252528,0.099236
moons_2class_fixed,GM,0.846250,0.487346,0.238463,0.058358
moons_2class_fixed,GM-flat,0.836250,0.495011,0.244842,0.051672
moons_2class_fixed,GM-instance,0.836250,0.416523,0.267479,0.085593
moons_2class_fixed,GM-centroid,0.147500,23.555447,1.704965,0.852482
moons_2class_fixed,kNN-budget(P=67),0.540000,2.102644,0.523025,0.291125
