tag,method,smooth
moons_2class_fixed,GM,0.361917
moons_2class_fixed,GM-flat,0.357548
moons_2class_fixed,kNN,0.957851
moons_2class_fixed,LabelSpreading,13.081313
circles_2class_fixed,GM,0.087552
circles_2class_fixed,GM-flat,0.086535
circles_2class_fixed,kNN,0.380348
circles_2class_fixed,LabelSpreading,3.528555
moons_2class_fixed,GM,0.225873
moons_2class_fixed,GM-flat,0.224472
moons_2class_fixed,kNN,0.845674
moons_2class_fixed,LabelSpreading,11.217654
circles_2class_fixed,GM,0.248752
circles_2class_fixed,GM-flat,0.243234
circles_2class_fixed,kNN,0.510451
circles_2class_fixed,LabelSpreading,4.846804
circles_2class_fixed,GM,0.113743
circles_2class_fixed,GM-flat,0.112066
circles_2class_fixed,kNN,0.325288
circles_2class_fixed,LabelSpreading,2.731076
circles_2class_fixed,GM,0.262421
circles_2class_fixed,GM-flat,0.255654
circles_2class_fixed,kNN,0.534150
circles_2class_fixed,LabelSpreading,6.189062
circles_2class_fixed,GM,0.273797
circles_2class_fixed,GM-flat,0.267707
circles_2class_fixed,kNN,0.577779
circles_2class_fixed,LabelSpreading,6.064223
moons_2class_fixed,GM,0.396920
moons_2class_fixed,GM-flat,0.390546
moons_2class_fixed,kNN,0.984722
moons_2class_fixed,LabelSpreading,14.311796
circles_2class_fixed,GM,0.110752
circles_2class_fixed,GM-flat,0.108059
circles_2class_fixed,kNN,0.375980
circles_2class_fixed,LabelSpreading,4.101786
moons_2class_fixed,GM,0.393004
moons_2class_fixed,GM-flat,0.385506
moons_2class_fixed,kNN,0.989348
moons_2class_fixed,LabelSpreading,13.883770
moons_2class_fixed,GM,0.203485
moons_2class_fixed,GM-flat,0.199988
moons_2class_fixed,kNN,0.819993
moons_2class_fixed,LabelSpreading,12.528670
moons_2class_fixed,GM,0.221294
moons_2class_fixed,GM-flat,0.216947
moons_2class_fixed,kNN,0.802315
moons_2class_fixed,LabelSpreading,10.493116
