tag,method,acc,t_fit,t_pred,n_train,n_test,K
moons_2class_fixed,Linear,0.856250,0.00270100,0.00019046,1200,800,-
moons_2class_fixed,kNN,0.931250,0.00089095,0.02762847,1200,800,-
moons_2class_fixed,LabelSpreading,0.916250,0.00000000,0.00758548,1200,800,-
moons_2class_fixed,GM,0.936250,0.42467742,0.02505429,1200,800,120
moons_2class_fixed,GM-flat,0.933750,0.00000000,0.03291913,1200,800,120
moons_2class_fixed,GM-instance,0.923750,0.05695510,2.74102851,1200,800,1200
moons_2class_fixed,GM-centroid,0.148750,0.00049698,0.06306158,1200,800,2
moons_2class_fixed,kNN-budget(P=120),0.912500,0.00094803,0.04449819,120,800,120
circles_2class_fixed,Linear,0.500000,0.00295840,0.00027850,675,800,-
circles_2class_fixed,kNN,0.901250,0.00115671,0.04709941,675,800,-
circles_2class_fixed,LabelSpreading,0.895000,0.00000000,0.01188490,675,800,-
circles_2class_fixed,GM,0.857500,3.51519226,0.85999410,675,800,67
circles_2class_fixed,GM-flat,0.853750,0.00000000,0.60267890,675,800,67
circles_2class_fixed,GM-instance,0.890000,0.02570459,2.58217099,675,800,675
circles_2class_fixed,GM-centroid,0.510000,0.00046697,0.06330046,675,800,2
circles_2class_fixed,kNN-budget(P=67),0.786250,0.00117795,0.04231960,67,800,67
moons_2class_fixed,Linear,0.791250,0.00255336,0.00020751,675,800,-
moons_2class_fixed,kNN,0.883750,0.00080699,0.02807165,675,800,-
moons_2class_fixed,LabelSpreading,0.886250,0.00000000,0.00623564,675,800,-
moons_2class_fixed,GM,0.843750,0.20139349,0.01623951,675,800,67
moons_2class_fixed,GM-flat,0.843750,0.00000000,0.02305376,675,800,67
moons_2class_fixed,GM-instance,0.877500,0.01848150,0.12269792,675,800,675
moons_2class_fixed,GM-centroid,0.178750,0.00027359,0.03041057,675,800,2
moons_2class_fixed,kNN-budget(P=67),0.510000,0.00097949,0.04329036,67,800,67
circles_2class_fixed,Linear,0.503750,0.00169009,0.00017470,1200,800,-
circles_2class_fixed,kNN,0.945000,0.00085388,0.02651981,1200,800,-
circles_2class_fixed,LabelSpreading,0.943750,0.00000000,0.00741981,1200,800,-
circles_2class_fixed,GM,0.948750,0.39126648,0.02411138,1200,800,120
circles_2class_fixed,GM-flat,0.947500,0.00000000,0.03307445,1200,800,120
circles_2class_fixed,GM-instance,0.948750,0.05642730,2.86741307,1200,800,1200
circles_2class_fixed,GM-centroid,0.496250,0.00048082,0.05576611,1200,800,2
circles_2class_fixed,kNN-budget(P=120),0.942500,0.00122758,0.05596560,120,800,120
circles_2class_fixed,Linear,0.500000,0.00273974,0.00027620,675,800,-
circles_2class_fixed,kNN,0.868750,0.00111421,0.09235753,675,800,-
circles_2class_fixed,LabelSpreading,0.882500,0.00000000,0.01014419,675,800,-
circles_2class_fixed,GM,0.868750,0.68441458,0.02407146,675,800,67
circles_2class_fixed,GM-flat,0.870000,0.00000000,0.01909535,675,800,67
circles_2class_fixed,GM-instance,0.865000,0.01585967,1.72729202,675,800,675
circles_2class_fixed,GM-centroid,0.516250,0.00027467,0.04283398,675,800,2
circles_2class_fixed,kNN-budget(P=67),0.836250,0.00096203,0.05015106,67,800,67
circles_2class_fixed,Linear,0.493750,0.00269354,0.00025854,1200,800,-
circles_2class_fixed,kNN,0.938750,0.00121842,0.04509316,1200,800,-
