tag,method,acc,t_fit,t_pred,n_train,n_test,K
moons_2class_fixed,Linear,0.862000,0.00253614,0.00018596,2000,2000,-
moons_2class_fixed,kNN,0.950500,0.00112041,0.06549215,2000,2000,-
moons_2class_fixed,LabelSpreading,0.945500,0.00000000,0.00000000,2000,2000,-
moons_2class_fixed,GM,0.948500,0.92061214,0.17543048,2000,2000,200
moons_2class_fixed,GM-flat,0.950500,0.00000000,0.14107448,2000,2000,200
moons_2class_fixed,GM-instance,0.950500,0.07464870,0.72498464,2000,2000,2000
moons_2class_fixed,GM-centroid,0.848000,0.00037250,0.10154349,2000,2000,2
moons_2class_fixed,GM→LP(sklearn),0.945500,0.00000000,0.00000000,2000,2000,2000
moons_2class_fixed,kNN-budget(P=200),0.942500,0.00105699,0.07128325,200,2000,200
circles_2class_fixed,Linear,0.500000,0.00220487,0.00020283,1125,2000,-
circles_2class_fixed,kNN,0.998000,0.00088031,0.06633270,1125,2000,-
circles_2class_fixed,LabelSpreading,0.999000,0.00000000,0.00000000,1125,2000,-
circles_2class_fixed,GM,0.972500,0.34802996,0.13094666,1125,2000,112
circles_2class_fixed,GM-flat,0.974500,0.00000000,0.12197543,1125,2000,112
circles_2class_fixed,GM-instance,0.998000,0.02703748,0.37754077,1125,2000,1125
circles_2class_fixed,GM-centroid,0.497500,0.00038986,0.10158338,1125,2000,2
circles_2class_fixed,GM→LP(sklearn),0.999000,0.00000000,0.00000000,1125,2000,1125
circles_2class_fixed,kNN-budget(P=112),0.806500,0.00117960,0.07357016,112,2000,112
moons_2class_fixed,Linear,0.783500,0.00281296,0.00021390,1125,2000,-
moons_2class_fixed,kNN,0.872500,0.00098929,0.06592884,1125,2000,-
moons_2class_fixed,LabelSpreading,0.893000,0.00000000,0.00000000,1125,2000,-
moons_2class_fixed,GM,0.799000,0.32777106,0.12869275,1125,2000,112
moons_2class_fixed,GM-flat,0.795500,0.00000000,0.12017575,1125,2000,112
moons_2class_fixed,GM-instance,0.872000,0.02814200,0.36119192,1125,2000,1125
moons_2class_fixed,GM-centroid,0.848500,0.00036426,0.09948757,1125,2000,2
moons_2class_fixed,GM→LP(sklearn),0.893000,0.00000000,0.00000000,1125,2000,1125
moons_2class_fixed,kNN-budget(P=112),0.748500,0.00118507,0.07013164,112,2000,112
circles_2class_fixed,Linear,0.505000,0.00171387,0.00018159,2000,2000,-
circles_2class_fixed,kNN,0.998500,0.00113540,0.06515379,2000,2000,-
circles_2class_fixed,LabelSpreading,0.998500,0.00000000,0.00000000,2000,2000,-
circles_2class_fixed,GM,0.998500,0.93178579,0.14190024,2000,2000,200
circles_2class_fixed,GM-flat,0.998000,0.00000000,0.14237472,2000,2000,200
circles_2class_fixed,GM-instance,0.998500,0.07326264,0.71395436,2000,2000,2000
circles_2class_fixed,GM-centroid,0.505000,0.00033747,0.10026464,2000,2000,2
circles_2class_fixed,GM→LP(sklearn),0.998500,0.00000000,0.00000000,2000,2000,2000
circles_2class_fixed,kNN-budget(P=200),0.997500,0.00093662,0.07140206,200,2000,200
circles_2class_fixed,Linear,0.500000,0.00212701,0.00018595,1125,2000,-
circles_2class_fixed,kNN,0.990000,0.00084834,0.06353361,1125,2000,-
circles_2class_fixed,LabelSpreading,0.989500,0.00000000,0.00000000,1125,2000,-
circles_2class_fixed,GM,0.949000,0.33142593,0.13145531,1125,2000,112
circles_2class_fixed,GM-flat,0.948500,0.00000000,0.12053287,1125,2000,112
circles_2class_fixed,GM-instance,0.989500,0.02801333,0.48763753,1125,2000,1125
circles_2class_fixed,GM-centroid,0.491500,0.00039491,0.09924098,1125,2000,2
