tag,method,acc
blobs_2class_std1.6,Linear,0.8825
blobs_2class_std1.6,kNN,0.87
blobs_2class_std1.6,LP,0.8675
blobs_2class_std1.6,GM,0.86875
blobs_2class_std1.6,GM-flat,0.86875
blobs_2class_std1.6,GM-instance,0.85625
blobs_2class_std1.6,GM-centroid,0.865
blobs_2class_std1.2,Linear,1.0
blobs_2class_std1.2,kNN,1.0
blobs_2class_std1.2,LP,1.0
blobs_2class_std1.2,GM,1.0
blobs_2class_std1.2,GM-flat,1.0
blobs_2class_std1.2,GM-instance,1.0
blobs_2class_std1.2,GM-centroid,1.0
blobs_2class_std0.9,Linear,1.0
blobs_2class_std0.9,kNN,1.0
blobs_2class_std0.9,LP,1.0
blobs_2class_std0.9,GM,1.0
blobs_2class_std0.9,GM-flat,1.0
blobs_2class_std0.9,GM-instance,1.0
blobs_2class_std0.9,GM-centroid,0.995
blobs_2class_std0.6,Linear,1.0
blobs_2class_std0.6,kNN,1.0
blobs_2class_std0.6,LP,1.0
blobs_2class_std0.6,GM,1.0
blobs_2class_std0.6,GM-flat,1.0
blobs_2class_std0.6,GM-instance,1.0
blobs_2class_std0.6,GM-centroid,1.0
blobs_multiclass_C3,Linear,1.0
blobs_multiclass_C3,kNN,1.0
blobs_multiclass_C3,LP,1.0
blobs_multiclass_C3,GM,1.0
blobs_multiclass_C3,GM-flat,1.0
blobs_multiclass_C3,GM-instance,1.0
blobs_multiclass_C3,GM-centroid,1.0
blobs_multiclass_C5,Linear,0.9991666666666666
blobs_multiclass_C5,kNN,0.9991666666666666
blobs_multiclass_C5,LP,0.9991666666666666
blobs_multiclass_C5,GM,0.9991666666666666
blobs_multiclass_C5,GM-flat,0.9991666666666666
blobs_multiclass_C5,GM-instance,0.9991666666666666
blobs_multiclass_C5,GM-centroid,0.9991666666666666
blobs_multiclass_C8,Linear,0.8691666666666666
blobs_multiclass_C8,kNN,0.8658333333333333
blobs_multiclass_C8,LP,0.8591666666666666
blobs_multiclass_C8,GM,0.87
blobs_multiclass_C8,GM-flat,0.87
blobs_multiclass_C8,GM-instance,0.8441666666666666
blobs_multiclass_C8,GM-centroid,0.8783333333333333
