tag,method,acc
moons_2class_noise0.35,Linear,0.84
moons_2class_noise0.35,kNN,0.89
moons_2class_noise0.35,LP,0.87875
moons_2class_noise0.35,GM,0.87125
moons_2class_noise0.35,GM-flat,0.87125
moons_2class_noise0.35,GM-instance,0.885
moons_2class_noise0.35,GM-centroid,0.84
moons_2class_noise0.25,Linear,0.85125
moons_2class_noise0.25,kNN,0.9325
moons_2class_noise0.25,LP,0.93125
moons_2class_noise0.25,GM,0.91375
moons_2class_noise0.25,GM-flat,0.91375
moons_2class_noise0.25,GM-instance,0.915
moons_2class_noise0.25,GM-centroid,0.83125
moons_2class_noise0.18,Linear,0.87375
moons_2class_noise0.18,kNN,0.9825
moons_2class_noise0.18,LP,0.97875
moons_2class_noise0.18,GM,0.97125
moons_2class_noise0.18,GM-flat,0.97125
moons_2class_noise0.18,GM-instance,0.9675
moons_2class_noise0.18,GM-centroid,0.86
moons_2class_noise0.12,Linear,0.87875
moons_2class_noise0.12,kNN,0.99625
moons_2class_noise0.12,LP,0.99625
moons_2class_noise0.12,GM,0.9925
moons_2class_noise0.12,GM-flat,0.9925
moons_2class_noise0.12,GM-instance,0.9975
moons_2class_noise0.12,GM-centroid,0.87
moons_multiclass_pairs2,Linear,0.8708333333333333
moons_multiclass_pairs2,kNN,0.965
moons_multiclass_pairs2,LP,0.9633333333333334
moons_multiclass_pairs2,GM,0.8258333333333333
moons_multiclass_pairs2,GM-flat,0.8258333333333333
moons_multiclass_pairs2,GM-instance,0.97
moons_multiclass_pairs2,GM-centroid,0.8316666666666667
moons_multiclass_pairs3,Linear,0.8425
moons_multiclass_pairs3,kNN,0.9483333333333334
moons_multiclass_pairs3,LP,0.9533333333333334
moons_multiclass_pairs3,GM,0.8341666666666666
moons_multiclass_pairs3,GM-flat,0.8341666666666666
moons_multiclass_pairs3,GM-instance,0.9566666666666667
moons_multiclass_pairs3,GM-centroid,0.8233333333333334
moons_multiclass_pairs4,Linear,0.8466666666666667
moons_multiclass_pairs4,kNN,0.9583333333333334
moons_multiclass_pairs4,LP,0.9558333333333333
moons_multiclass_pairs4,GM,0.9225
moons_multiclass_pairs4,GM-flat,0.9225
moons_multiclass_pairs4,GM-instance,0.9558333333333333
moons_multiclass_pairs4,GM-centroid,0.8641666666666666
