tag,method,acc,t_fit,t_pred,n_train,n_test,K,n_classes
blobs_2class_std1.6,Linear,0.885000,0.00254152,0.00019511,1200,800,-,2
blobs_2class_std1.6,kNN,0.870000,0.00088850,0.02763490,1200,800,-,2
blobs_2class_std1.6,LP,0.867500,0.00756939,0.00000117,1200,800,-,2
blobs_2class_std1.6,GM,0.868750,0.12798324,0.02299765,1200,800,32,2
blobs_2class_std1.6,GM-flat,0.868750,0.07873082,0.02259953,1200,800,32,2
blobs_2class_std1.6,GM-instance,0.856250,0.02818388,0.19680769,1200,800,1200,2
blobs_2class_std1.6,GM-centroid,0.865000,0.00025716,0.04115275,1200,800,2,2
blobs_2class_std1.2,Linear,1.000000,0.00393634,0.00028116,1200,800,-,2
blobs_2class_std1.2,kNN,1.000000,0.00131961,0.04311508,1200,800,-,2
blobs_2class_std1.2,LP,1.000000,0.01214710,0.00000187,1200,800,-,2
blobs_2class_std1.2,GM,1.000000,0.29876845,0.04351470,1200,800,32,2
blobs_2class_std1.2,GM-flat,1.000000,0.68262376,0.04332642,1200,800,32,2
blobs_2class_std1.2,GM-instance,1.000000,0.02280245,21.98995599,1200,800,1200,2
blobs_2class_std1.2,GM-centroid,1.000000,0.00044943,0.04136914,1200,800,2,2
blobs_2class_std0.9,Linear,1.000000,0.00320518,0.00022820,1200,800,-,2
blobs_2class_std0.9,kNN,1.000000,0.00100669,0.02801850,1200,800,-,2
blobs_2class_std0.9,LP,1.000000,0.00775601,0.00000156,1200,800,-,2
blobs_2class_std0.9,GM,1.000000,0.09160459,0.02300829,1200,800,32,2
blobs_2class_std0.9,GM-flat,1.000000,0.08424829,0.02300092,1200,800,32,2
blobs_2class_std0.9,GM-instance,1.000000,0.01904014,9.22938987,1200,800,1200,2
blobs_2class_std0.9,GM-centroid,0.995000,0.00035069,0.04204418,1200,800,2,2
blobs_2class_std0.6,Linear,1.000000,0.00362277,0.00028416,1200,800,-,2
blobs_2class_std0.6,kNN,1.000000,0.00127983,0.03697025,1200,800,-,2
blobs_2class_std0.6,LP,1.000000,0.01061360,0.00000159,1200,800,-,2
blobs_2class_std0.6,GM,1.000000,0.11310093,0.02282693,1200,800,32,2
blobs_2class_std0.6,GM-flat,1.000000,0.08684541,0.02296841,1200,800,32,2
blobs_2class_std0.6,GM-instance,1.000000,0.01893774,19.90218343,1200,800,1200,2
blobs_2class_std0.6,GM-centroid,1.000000,0.00074096,0.07317434,1200,800,2,2
blobs_multiclass_C3,Linear,1.000000,0.00478437,0.00032494,1800,1200,-,3
blobs_multiclass_C3,kNN,1.000000,0.00135275,0.05847954,1800,1200,-,3
blobs_multiclass_C3,LP,1.000000,0.01906516,0.00000171,1800,1200,-,3
blobs_multiclass_C3,GM,1.000000,0.13802703,0.03881237,1800,1200,24,3
blobs_multiclass_C3,GM-flat,1.000000,0.13197354,0.04122344,1800,1200,24,3
blobs_multiclass_C3,GM-instance,1.000000,0.04172933,8.14149168,1800,1200,1800,3
blobs_multiclass_C3,GM-centroid,1.000000,0.00096494,0.06903693,1800,1200,3,3
blobs_multiclass_C5,Linear,0.999167,0.00861516,0.00034353,1800,1200,-,5
blobs_multiclass_C5,kNN,0.999167,0.00153144,0.06402783,1800,1200,-,5
blobs_multiclass_C5,LP,0.999167,0.02197964,0.00000224,1800,1200,-,5
blobs_multiclass_C5,GM,0.999167,1.00928517,0.08844527,1800,1200,40,5
blobs_multiclass_C5,GM-flat,0.999167,1.08786765,0.08815302,1800,1200,40,5
blobs_multiclass_C5,GM-instance,0.999167,0.05422094,22.27954446,1800,1200,1800,5
blobs_multiclass_C5,GM-centroid,0.999167,0.00061560,0.08402330,1800,1200,5,5
blobs_multiclass_C8,Linear,0.869167,0.01702825,0.00024693,1800,1200,-,8
blobs_multiclass_C8,kNN,0.865833,0.00103575,0.03945184,1800,1200,-,8
blobs_multiclass_C8,LP,0.859167,0.01430489,0.00000152,1800,1200,-,8
blobs_multiclass_C8,GM,0.870000,0.20327001,0.05914251,1800,1200,64,8
blobs_multiclass_C8,GM-flat,0.870000,0.19999961,0.06017994,1800,1200,64,8
blobs_multiclass_C8,GM-instance,0.844167,0.04684938,37.76319684,1800,1200,1800,8
blobs_multiclass_C8,GM-centroid,0.878333,0.00070000,0.13359428,1800,1200,8,8
