tag,method,acc,t_fit,t_pred,n_train,n_test,K,n_classes
moons_2class_fixed,Linear,0.888750,0.00238990,0.00018061,1200,800,-,2
moons_2class_fixed,kNN,0.990000,0.00083711,0.02630544,1200,800,-,2
moons_2class_fixed,LP,0.990000,0.00738724,0.00000126,1200,800,-,2
moons_2class_fixed,GM,0.981250,0.12799878,0.02298016,1200,800,32,2
moons_2class_fixed,GM-flat,0.981250,0.07568194,0.02286361,1200,800,32,2
moons_2class_fixed,GM-instance,0.986250,0.02631769,0.20302920,1200,800,1200,2
moons_2class_fixed,GM-centroid,0.871250,0.00025985,0.04056788,1200,800,2,2
moons_2class_fixed,kNN-budget(P=32),0.888750,0.00098266,0.04129835,32,800,32,2
moons_multiclass_fixed,Linear,0.861667,0.01073405,0.00024332,1800,1200,-,6
moons_multiclass_fixed,kNN,0.975833,0.00105181,0.03819715,1800,1200,-,6
moons_multiclass_fixed,LP,0.983333,0.01461780,0.00000144,1800,1200,-,6
moons_multiclass_fixed,GM,0.840000,0.17120066,0.05011507,1800,1200,48,6
moons_multiclass_fixed,GM-flat,0.840000,0.16356828,0.04984079,1800,1200,48,6
moons_multiclass_fixed,GM-instance,0.989167,0.05517352,0.47462318,1800,1200,1800,6
moons_multiclass_fixed,GM-centroid,0.842500,0.00037968,0.09029658,1800,1200,6,6
moons_multiclass_fixed,kNN-budget(P=48),0.825000,0.00088884,0.04881262,48,1200,48,6
