tag,method,acc,t_fit,t_pred,n_train,n_test,K,n_classes
circles_2class_fixed,Linear,0.465000,0.00150111,0.00016906,1200,800,-,2
circles_2class_fixed,kNN,1.000000,0.00080843,0.02526970,1200,800,-,2
circles_2class_fixed,LP,1.000000,0.00644771,0.00000110,1200,800,-,2
circles_2class_fixed,GM,1.000000,0.12716789,0.02316781,1200,800,32,2
circles_2class_fixed,GM-flat,1.000000,0.08160666,0.02286972,1200,800,32,2
circles_2class_fixed,GM-instance,1.000000,0.02583937,0.19509115,1200,800,1200,2
circles_2class_fixed,GM-centroid,0.465000,0.00022999,0.04088387,1200,800,2,2
circles_2class_fixed,kNN-budget(P=32),0.788750,0.00088628,0.04118545,32,800,32,2
circles_multiclass_fixed,Linear,0.473333,0.00905998,0.00024668,1800,1200,-,6
circles_multiclass_fixed,kNN,0.980833,0.00104727,0.03858521,1800,1200,-,6
circles_multiclass_fixed,LP,0.999167,0.01259626,0.00000130,1800,1200,-,6
circles_multiclass_fixed,GM,0.845833,0.16718622,0.04988555,1800,1200,48,6
circles_multiclass_fixed,GM-flat,0.844167,0.16510068,0.05003235,1800,1200,48,6
circles_multiclass_fixed,GM-instance,0.980833,0.05575405,0.46655656,1800,1200,1800,6
circles_multiclass_fixed,GM-centroid,0.499167,0.00038508,0.09015927,1800,1200,6,6
circles_multiclass_fixed,kNN-budget(P=48),0.654167,0.00089416,0.04932408,48,1200,48,6
