tag,method,acc,t_fit,t_pred,n_train,n_test,K,n_classes
circles_2class_fixed,Linear,0.500000,0.00205924,0.00020276,1200,800,-,2
circles_2class_fixed,kNN,1.000000,0.00080149,0.02713051,1200,800,-,2
circles_2class_fixed,LP,1.000000,0.00548715,0.00000119,1200,800,-,2
circles_2class_fixed,GM,1.000000,0.09854977,0.02293999,1200,800,32,2
circles_2class_fixed,GM-flat,1.000000,0.05001637,0.02563361,1200,800,32,2
circles_2class_fixed,GM-instance,0.500000,0.01072885,0.20087023,1200,800,675,2
circles_2class_fixed,GM-centroid,0.480000,0.00015574,0.02118292,1200,800,2,2
circles_2class_fixed,kNN-budget(P=32),0.500000,0.00067069,0.02507002,32,800,32,2
circles_multiclass_fixed,Linear,0.500000,0.00691683,0.00024203,1800,1200,-,6
circles_multiclass_fixed,kNN,0.910000,0.00081014,0.04056086,1800,1200,-,6
circles_multiclass_fixed,LP,0.969167,0.00871565,0.00000124,1800,1200,-,6
circles_multiclass_fixed,GM,0.730833,0.10830420,0.04926727,1800,1200,48,6
circles_multiclass_fixed,GM-flat,0.737500,0.08345180,0.04934631,1800,1200,48,6
circles_multiclass_fixed,GM-instance,0.910000,0.01119139,0.21586271,1800,1200,810,6
circles_multiclass_fixed,GM-centroid,0.481667,0.00029327,0.08939756,1800,1200,6,6
circles_multiclass_fixed,kNN-budget(P=48),0.385000,0.00088456,0.04987198,48,1200,48,6
