tag,method,acc,t_fit,t_pred,n_train,n_test,K
moons_2class_fixed,Linear,0.856250,0.00315042,0.00029615,1200,800,-
moons_2class_fixed,kNN,0.931250,0.00130394,0.03932285,1200,800,-
moons_2class_fixed,LabelSpreading,0.916250,0.00000000,0.01120791,1200,800,-
moons_2class_fixed,GM,0.898750,0.43843825,0.02221462,1200,800,120
moons_2class_fixed,GM-flat,0.896250,0.00000000,0.14967581,1200,800,120
moons_2class_fixed,GM-instance,0.923750,0.06095403,11.21090795,1200,800,1200
moons_2class_fixed,GM-centroid,0.851250,0.00062671,0.01648457,1200,800,2
moons_2class_fixed,kNN-budget(P=120),0.912500,0.00120938,0.04377362,120,800,120
circles_2class_fixed,Linear,0.500000,0.00215554,0.00019573,675,800,-
circles_2class_fixed,kNN,0.901250,0.00076096,0.02868834,675,800,-
circles_2class_fixed,LabelSpreading,0.895000,0.00000000,0.00654448,675,800,-
circles_2class_fixed,GM,0.763750,0.22011230,0.02024661,675,800,67
circles_2class_fixed,GM-flat,0.771250,0.00000000,0.02162588,675,800,67
circles_2class_fixed,GM-instance,0.890000,0.01781011,8.66062702,675,800,675
circles_2class_fixed,GM-centroid,0.490000,0.00064642,0.01714615,675,800,2
circles_2class_fixed,kNN-budget(P=67),0.786250,0.00107789,0.04400435,67,800,67
moons_2class_fixed,Linear,0.791250,0.02958834,0.00039415,675,800,-
moons_2class_fixed,kNN,0.883750,0.00123805,0.04658836,675,800,-
moons_2class_fixed,LabelSpreading,0.886250,0.00000000,0.01161478,675,800,-
moons_2class_fixed,GM,0.800000,3.05526612,0.26283430,675,800,67
moons_2class_fixed,GM-flat,0.801250,0.00000000,0.93698085,675,800,67
moons_2class_fixed,GM-instance,0.877500,0.02170054,19.91229502,675,800,675
moons_2class_fixed,GM-centroid,0.821250,0.00058686,0.03260065,675,800,2
moons_2class_fixed,kNN-budget(P=67),0.510000,0.00123513,0.06788589,67,800,67
circles_2class_fixed,Linear,0.503750,0.00190209,0.00020142,1200,800,-
circles_2class_fixed,kNN,0.945000,0.00092791,0.02789019,1200,800,-
circles_2class_fixed,LabelSpreading,0.943750,0.00000000,0.00809750,1200,800,-
circles_2class_fixed,GM,0.945000,0.43856530,0.04858073,1200,800,120
circles_2class_fixed,GM-flat,0.945000,0.00000000,0.11205632,1200,800,120
circles_2class_fixed,GM-instance,0.948750,0.06350401,12.99936785,1200,800,1200
circles_2class_fixed,GM-centroid,0.503750,0.00063721,0.03257417,1200,800,2
circles_2class_fixed,kNN-budget(P=120),0.942500,0.00116157,0.04362156,120,800,120
circles_2class_fixed,Linear,0.500000,0.00241356,0.00026736,675,800,-
circles_2class_fixed,kNN,0.868750,0.00104033,0.03717864,675,800,-
circles_2class_fixed,LabelSpreading,0.882500,0.00000000,0.00882061,675,800,-
circles_2class_fixed,GM,0.816250,0.23627550,0.01678101,675,800,67
circles_2class_fixed,GM-flat,0.822500,0.00000000,0.02224894,675,800,67
circles_2class_fixed,GM-instance,0.865000,0.01663539,9.10282117,675,800,675
circles_2class_fixed,GM-centroid,0.483750,0.00058258,0.01669531,675,800,2
circles_2class_fixed,kNN-budget(P=67),0.836250,0.00105608,0.04257792,67,800,67
circles_2class_fixed,Linear,0.493750,0.00164644,0.00018821,1200,800,-
circles_2class_fixed,kNN,0.938750,0.00088428,0.02743369,1200,800,-
circles_2class_fixed,LabelSpreading,0.932500,0.00000000,0.00782042,1200,800,-
circles_2class_fixed,GM,0.946250,0.41736299,0.02994764,1200,800,120
circles_2class_fixed,GM-flat,0.946250,0.00000000,0.14786440,1200,800,120
circles_2class_fixed,GM-instance,0.935000,0.05969760,11.12799221,1200,800,1200
circles_2class_fixed,GM-centroid,0.495000,0.00063505,0.01675206,1200,800,2
circles_2class_fixed,kNN-budget(P=120),0.943750,0.00154185,0.04771771,120,800,120
circles_2class_fixed,Linear,0.526250,0.00180097,0.00019722,1200,800,-
circles_2class_fixed,kNN,0.948750,0.00093741,0.02738107,1200,800,-
circles_2class_fixed,LabelSpreading,0.942500,0.00000000,0.00811819,1200,800,-
circles_2class_fixed,GM,0.946250,0.42151388,0.03424668,1200,800,120
circles_2class_fixed,GM-flat,0.948750,0.00000000,0.15321563,1200,800,120
circles_2class_fixed,GM-instance,0.945000,0.06487913,11.54317159,1200,800,1200
circles_2class_fixed,GM-centroid,0.522500,0.00116396,0.01804640,1200,800,2
circles_2class_fixed,kNN-budget(P=120),0.932500,0.00130971,0.04364189,120,800,120
moons_2class_fixed,Linear,0.850000,0.11580246,0.00045396,1200,800,-
moons_2class_fixed,kNN,0.936250,0.00166688,0.06198764,1200,800,-
moons_2class_fixed,LabelSpreading,0.926250,0.00000000,0.01330525,1200,800,-
moons_2class_fixed,GM,0.897500,5.75055371,1.75176377,1200,800,120
moons_2class_fixed,GM-flat,0.897500,0.00000000,1.66003608,1200,800,120
moons_2class_fixed,GM-instance,0.936250,0.05092482,27.11834648,1200,800,1200
moons_2class_fixed,GM-centroid,0.846250,0.00064450,0.02877217,1200,800,2
moons_2class_fixed,kNN-budget(P=120),0.932500,0.00120293,0.04518728,120,800,120
circles_2class_fixed,Linear,0.500000,0.00247797,0.00025405,675,800,-
circles_2class_fixed,kNN,0.901250,0.00098973,0.03849160,675,800,-
circles_2class_fixed,LabelSpreading,0.907500,0.00000000,0.00939651,675,800,-
circles_2class_fixed,GM,0.822500,0.24699549,0.01731231,675,800,67
circles_2class_fixed,GM-flat,0.822500,0.00000000,0.02222267,675,800,67
circles_2class_fixed,GM-instance,0.897500,0.01687085,8.11136857,675,800,675
circles_2class_fixed,GM-centroid,0.508750,0.00056939,0.01680853,675,800,2
circles_2class_fixed,kNN-budget(P=67),0.822500,0.00120399,0.07623698,67,800,67
moons_2class_fixed,Linear,0.837500,0.02511514,0.00037217,1200,800,-
moons_2class_fixed,kNN,0.935000,0.00146599,0.04475749,1200,800,-
moons_2class_fixed,LabelSpreading,0.928750,0.00000000,0.01467868,1200,800,-
moons_2class_fixed,GM,0.890000,3.47192351,1.82201131,1200,800,120
moons_2class_fixed,GM-flat,0.891250,0.00000000,1.62017088,1200,800,120
moons_2class_fixed,GM-instance,0.932500,0.10267355,26.82256113,1200,800,1200
moons_2class_fixed,GM-centroid,0.833750,0.00063159,0.02870001,1200,800,2
moons_2class_fixed,kNN-budget(P=120),0.941250,0.00119288,0.04845704,120,800,120
moons_2class_fixed,Linear,0.756250,0.00273431,0.00021192,675,800,-
moons_2class_fixed,kNN,0.825000,0.00080615,0.02701517,675,800,-
moons_2class_fixed,LabelSpreading,0.867500,0.00000000,0.00716904,675,800,-
moons_2class_fixed,GM,0.778750,0.21507042,0.01899850,675,800,67
moons_2class_fixed,GM-flat,0.773750,0.00000000,0.02710427,675,800,67
moons_2class_fixed,GM-instance,0.826250,0.02221793,8.74614563,675,800,675
moons_2class_fixed,GM-centroid,0.845000,0.00060729,0.01661376,675,800,2
moons_2class_fixed,kNN-budget(P=67),0.576250,0.00108247,0.04232843,67,800,67
moons_2class_fixed,Linear,0.783750,0.00288010,0.00023349,675,800,-
moons_2class_fixed,kNN,0.838750,0.00089963,0.02791575,675,800,-
moons_2class_fixed,LabelSpreading,0.842500,0.00000000,0.00697613,675,800,-
moons_2class_fixed,GM,0.816250,0.21107910,0.01732690,675,800,67
moons_2class_fixed,GM-flat,0.808750,0.00000000,0.02053658,675,800,67
moons_2class_fixed,GM-instance,0.836250,0.01725265,8.99663147,675,800,675
moons_2class_fixed,GM-centroid,0.852500,0.00090305,0.01708707,675,800,2
moons_2class_fixed,kNN-budget(P=67),0.540000,0.00119022,0.04246786,67,800,67
