tag,method,acc,nll,brier,ece
moons_2class_fixed,Linear,0.861000,0.311049,0.196582,0.023574
moons_2class_fixed,kNN,0.951000,0.352246,0.082600,0.021800
moons_2class_fixed,LabelSpreading,0.950500,0.217284,0.088404,0.031069
moons_2class_fixed,GM (P=120),0.947500,0.169004,0.087966,0.048705
moons_2class_fixed,GM-flat (P=120),0.947000,0.173531,0.089976,0.054365
moons_2class_fixed,GM-instance,0.952500,0.213874,0.100080,0.101005
moons_2class_fixed,GM-centroid,0.212500,21.759430,1.575000,0.787500
moons_2class_fixed,kNN-budget(P=120),0.943500,0.351162,0.101760,0.046400
moons_2class_fixed,Linear,0.849500,0.319221,0.203687,0.030923
moons_2class_fixed,kNN,0.937000,0.501578,0.099970,0.022850
moons_2class_fixed,LabelSpreading,0.930000,0.255955,0.108623,0.030732
moons_2class_fixed,GM (P=120),0.933000,0.181673,0.100745,0.036253
moons_2class_fixed,GM-flat (P=120),0.934000,0.184144,0.101844,0.042131
moons_2class_fixed,GM-instance,0.938000,0.231339,0.113719,0.089489
moons_2class_fixed,GM-centroid,0.212500,21.759430,1.575000,0.787500
moons_2class_fixed,kNN-budget(P=120),0.929500,0.245174,0.116060,0.039400
moons_2class_fixed,Linear,0.858000,0.321798,0.202869,0.022597
moons_2class_fixed,kNN,0.932500,0.354132,0.094360,0.019000
moons_2class_fixed,LabelSpreading,0.934000,0.206825,0.101926,0.024658
moons_2class_fixed,GM (P=120),0.930000,0.181126,0.104080,0.024652
moons_2class_fixed,GM-flat (P=120),0.928500,0.184214,0.105955,0.026235
moons_2class_fixed,GM-instance,0.935000,0.226677,0.111141,0.091648
moons_2class_fixed,GM-centroid,0.212000,21.773247,1.576000,0.788000
moons_2class_fixed,kNN-budget(P=120),0.931500,0.404994,0.108600,0.018200
moons_2class_fixed,Linear,0.853500,0.324484,0.205550,0.023250
moons_2class_fixed,kNN,0.936500,0.380225,0.094770,0.017150
moons_2class_fixed,LabelSpreading,0.925000,0.225642,0.104809,0.028567
moons_2class_fixed,GM (P=120),0.928000,0.191567,0.106470,0.038268
moons_2class_fixed,GM-flat (P=120),0.928500,0.195027,0.108300,0.038806
moons_2class_fixed,GM-instance,0.934000,0.228686,0.111896,0.092001
moons_2class_fixed,GM-centroid,0.214500,21.704168,1.571000,0.785500
moons_2class_fixed,kNN-budget(P=120),0.933500,0.225642,0.119510,0.073250
moons_2class_fixed,Linear,0.861000,0.313647,0.196870,0.015969
moons_2class_fixed,kNN,0.942500,0.422398,0.088180,0.024100
moons_2class_fixed,LabelSpreading,0.941000,0.224124,0.097063,0.032148
moons_2class_fixed,GM (P=120),0.940500,0.168764,0.091723,0.037376
moons_2class_fixed,GM-flat (P=120),0.939000,0.172588,0.093501,0.042616
moons_2class_fixed,GM-instance,0.943000,0.221350,0.105377,0.095668
moons_2class_fixed,GM-centroid,0.222000,21.496933,1.556000,0.778000
moons_2class_fixed,kNN-budget(P=120),0.938500,0.261820,0.091710,0.034650
