tag,method,acc,t_fit,t_pred,n_train,n_test,K
circles_2class_fixed,Linear,0.490500,0.05215308,0.00048537,2000,2000,-
circles_2class_fixed,kNN,0.952500,0.00222073,0.25910063,2000,2000,-
circles_2class_fixed,LabelSpreading,0.945500,0.00000000,0.10158721,2000,2000,-
circles_2class_fixed,GM (P=120),0.950500,6.82863758,1.86844166,2000,2000,120
circles_2class_fixed,GM-flat (P=120),0.949000,0.00000000,1.95961693,2000,2000,120
circles_2class_fixed,GM-instance,0.949500,0.20272748,9.76115811,2000,2000,2000
circles_2class_fixed,GM-centroid,0.509500,0.00090410,0.14709729,2000,2000,2
circles_2class_fixed,kNN-budget(P=120),0.932500,0.00172558,0.20504591,120,2000,120
circles_2class_fixed,Linear,0.498000,0.00315801,0.00039511,2000,2000,-
circles_2class_fixed,kNN,0.942000,0.00214815,0.16948150,2000,2000,-
circles_2class_fixed,LabelSpreading,0.931500,0.00000000,0.02907227,2000,2000,-
circles_2class_fixed,GM (P=120),0.941000,1.34293386,1.35622160,2000,2000,120
circles_2class_fixed,GM-flat (P=120),0.940500,0.00000000,1.33618005,2000,2000,120
circles_2class_fixed,GM-instance,0.942500,0.16320891,7.25507020,2000,2000,2000
circles_2class_fixed,GM-centroid,0.508000,0.00061298,0.12924764,2000,2000,2
circles_2class_fixed,kNN-budget(P=120),0.936000,0.00211284,0.12393896,120,2000,120
circles_2class_fixed,Linear,0.508500,0.00399669,0.00095323,2000,2000,-
circles_2class_fixed,kNN,0.945000,0.00441391,0.11624507,2000,2000,-
circles_2class_fixed,LabelSpreading,0.935500,0.00000000,0.02642003,2000,2000,-
circles_2class_fixed,GM (P=120),0.944000,12.13214950,1.57804446,2000,2000,120
circles_2class_fixed,GM-flat (P=120),0.945500,0.00000000,0.99542171,2000,2000,120
circles_2class_fixed,GM-instance,0.945000,0.18097685,9.03229209,2000,2000,2000
circles_2class_fixed,GM-centroid,0.494500,0.00110629,0.09396936,2000,2000,2
circles_2class_fixed,kNN-budget(P=120),0.940500,0.00149245,0.11543308,120,2000,120
circles_2class_fixed,Linear,0.504500,0.00325957,0.00031534,2000,2000,-
circles_2class_fixed,kNN,0.946500,0.01478780,0.26837700,2000,2000,-
circles_2class_fixed,LabelSpreading,0.938500,0.00000000,0.05364411,2000,2000,-
circles_2class_fixed,GM (P=120),0.947000,4.00566771,2.47313429,2000,2000,120
circles_2class_fixed,GM-flat (P=120),0.946000,0.00000000,2.39121340,2000,2000,120
circles_2class_fixed,GM-instance,0.947500,0.25708401,9.96956116,2000,2000,2000
circles_2class_fixed,GM-centroid,0.496500,0.00101257,0.17784930,2000,2000,2
circles_2class_fixed,kNN-budget(P=120),0.927500,0.00136493,0.11301996,120,2000,120
circles_2class_fixed,Linear,0.492500,0.00182898,0.00021425,2000,2000,-
circles_2class_fixed,kNN,0.950500,0.00117349,0.11273113,2000,2000,-
circles_2class_fixed,LabelSpreading,0.946500,0.00000000,0.04240858,2000,2000,-
circles_2class_fixed,GM (P=120),0.952000,0.86701314,1.08632936,2000,2000,120
circles_2class_fixed,GM-flat (P=120),0.952000,0.00000000,1.07999608,2000,2000,120
circles_2class_fixed,GM-instance,0.953500,0.18500305,6.49782612,2000,2000,2000
circles_2class_fixed,GM-centroid,0.507000,0.00078245,0.09801954,2000,2000,2
circles_2class_fixed,kNN-budget(P=120),0.944500,0.00124394,0.10806739,120,2000,120
