tag,method,acc,t_fit,t_pred,n_train,n_test,K
circles_2class_fixed,Linear,0.500000,0.00366410,0.00039969,1125,2000,-
circles_2class_fixed,kNN,0.888500,0.00153123,0.11573488,1125,2000,-
circles_2class_fixed,LabelSpreading,0.875000,0.00000000,0.02445924,1125,2000,-
circles_2class_fixed,GM (P=112),0.848500,9.72880083,2.09231810,1125,2000,112
circles_2class_fixed,GM-flat (P=112),0.854000,0.00000000,1.92376519,1125,2000,112
circles_2class_fixed,GM-instance,0.887000,0.14938634,5.88964162,1125,2000,1125
circles_2class_fixed,GM-centroid,0.511000,0.00063527,0.16834129,1125,2000,2
circles_2class_fixed,kNN-budget(P=112),0.867500,0.00159690,0.32755776,112,2000,112
circles_2class_fixed,Linear,0.500000,0.03286043,0.00065904,1125,2000,-
circles_2class_fixed,kNN,0.889000,0.00254359,0.24417832,1125,2000,-
circles_2class_fixed,LabelSpreading,0.877500,0.00000000,0.03715323,1125,2000,-
circles_2class_fixed,GM (P=112),0.874000,7.87694382,2.00311114,1125,2000,112
circles_2class_fixed,GM-flat (P=112),0.871000,0.00000000,1.96269656,1125,2000,112
circles_2class_fixed,GM-instance,0.888500,0.11747670,3.75205971,1125,2000,1125
circles_2class_fixed,GM-centroid,0.523500,0.00037245,0.06997861,1125,2000,2
circles_2class_fixed,kNN-budget(P=112),0.835000,0.00127214,0.11174375,112,2000,112
circles_2class_fixed,Linear,0.500000,0.00306468,0.00029799,1125,2000,-
circles_2class_fixed,kNN,0.898500,0.00141304,0.15008189,1125,2000,-
circles_2class_fixed,LabelSpreading,0.887500,0.00000000,0.02471242,1125,2000,-
circles_2class_fixed,GM (P=112),0.874500,1.60601071,1.41935259,1125,2000,112
circles_2class_fixed,GM-flat (P=112),0.876500,0.00000000,1.49222133,1125,2000,112
circles_2class_fixed,GM-instance,0.898000,0.09681340,4.77714906,1125,2000,1125
circles_2class_fixed,GM-centroid,0.510500,0.00061778,0.10653699,1125,2000,2
circles_2class_fixed,kNN-budget(P=112),0.850000,0.00116417,0.16193757,112,2000,112
circles_2class_fixed,Linear,0.500000,0.00720459,0.00070959,1125,2000,-
circles_2class_fixed,kNN,0.883000,0.00287026,0.14853750,1125,2000,-
circles_2class_fixed,LabelSpreading,0.884000,0.00000000,0.02032879,1125,2000,-
circles_2class_fixed,GM (P=112),0.854500,4.97650200,1.60131056,1125,2000,112
circles_2class_fixed,GM-flat (P=112),0.854500,0.00000000,1.60071221,1125,2000,112
circles_2class_fixed,GM-instance,0.881000,0.09631497,5.04070175,1125,2000,1125
circles_2class_fixed,GM-centroid,0.500000,0.00065941,0.11733450,1125,2000,2
circles_2class_fixed,kNN-budget(P=112),0.857000,0.00171196,0.12002104,112,2000,112
circles_2class_fixed,Linear,0.500000,0.00272002,0.00034395,1125,2000,-
circles_2class_fixed,kNN,0.901500,0.00137543,0.10594518,1125,2000,-
circles_2class_fixed,LabelSpreading,0.892500,0.00000000,0.02316619,1125,2000,-
circles_2class_fixed,GM (P=112),0.845000,1.47045303,1.19258207,1125,2000,112
circles_2class_fixed,GM-flat (P=112),0.851500,0.00000000,1.31168149,1125,2000,112
circles_2class_fixed,GM-instance,0.901500,0.11250570,3.81406756,1125,2000,1125
circles_2class_fixed,GM-centroid,0.500000,0.00055574,0.11405800,1125,2000,2
circles_2class_fixed,kNN-budget(P=112),0.873000,0.00113639,0.12303597,112,2000,112
