tag,method,acc,t_fit,t_pred,n_train,n_test,K
moons_2class_fixed,Linear,0.861000,0.00758491,0.00063829,2000,2000,-
moons_2class_fixed,kNN,0.951000,0.00261370,0.23894107,2000,2000,-
moons_2class_fixed,LabelSpreading,0.950500,0.00000000,0.02850872,2000,2000,-
moons_2class_fixed,GM (P=120),0.947500,1.18355277,1.65704011,2000,2000,120
moons_2class_fixed,GM-flat (P=120),0.947000,0.00000000,1.60787899,2000,2000,120
moons_2class_fixed,GM-instance,0.952500,0.32864011,7.72489135,2000,2000,2000
moons_2class_fixed,GM-centroid,0.212500,0.00070386,0.08730565,2000,2000,2
moons_2class_fixed,kNN-budget(P=120),0.943500,0.00124057,0.11077484,120,2000,120
moons_2class_fixed,Linear,0.849500,0.00428724,0.00036518,2000,2000,-
moons_2class_fixed,kNN,0.937000,0.00178074,0.11066042,2000,2000,-
moons_2class_fixed,LabelSpreading,0.930000,0.00000000,0.02459641,2000,2000,-
moons_2class_fixed,GM (P=120),0.933000,10.13455536,1.77520665,2000,2000,120
moons_2class_fixed,GM-flat (P=120),0.934000,0.00000000,1.88397190,2000,2000,120
moons_2class_fixed,GM-instance,0.938000,0.17466852,8.06694435,2000,2000,2000
moons_2class_fixed,GM-centroid,0.212500,0.00079807,0.08540761,2000,2000,2
moons_2class_fixed,kNN-budget(P=120),0.929500,0.00133873,0.10901292,120,2000,120
moons_2class_fixed,Linear,0.858000,0.00375403,0.00030095,2000,2000,-
moons_2class_fixed,kNN,0.932500,0.00165045,0.10169322,2000,2000,-
moons_2class_fixed,LabelSpreading,0.934000,0.00000000,0.01908403,2000,2000,-
moons_2class_fixed,GM (P=120),0.930000,0.52566983,0.50787702,2000,2000,120
moons_2class_fixed,GM-flat (P=120),0.928500,0.00000000,0.71602914,2000,2000,120
moons_2class_fixed,GM-instance,0.935000,0.14719435,4.41239507,2000,2000,2000
moons_2class_fixed,GM-centroid,0.212000,0.00062171,0.07343544,2000,2000,2
moons_2class_fixed,kNN-budget(P=120),0.931500,0.00080113,0.06587271,120,2000,120
moons_2class_fixed,Linear,0.853500,0.00370407,0.00027989,2000,2000,-
moons_2class_fixed,kNN,0.936500,0.00168104,0.20886211,2000,2000,-
moons_2class_fixed,LabelSpreading,0.925000,0.00000000,0.05685144,2000,2000,-
moons_2class_fixed,GM (P=120),0.928000,1.35966253,0.72016576,2000,2000,120
moons_2class_fixed,GM-flat (P=120),0.928500,0.00000000,0.72854873,2000,2000,120
moons_2class_fixed,GM-instance,0.934000,0.21316669,4.87755101,2000,2000,2000
moons_2class_fixed,GM-centroid,0.214500,0.00063606,0.09621974,2000,2000,2
moons_2class_fixed,kNN-budget(P=120),0.933500,0.00126517,0.08524639,120,2000,120
moons_2class_fixed,Linear,0.861000,0.16845722,0.00033234,2000,2000,-
moons_2class_fixed,kNN,0.942500,0.00159457,0.16365637,2000,2000,-
moons_2class_fixed,LabelSpreading,0.941000,0.00000000,0.02451769,2000,2000,-
moons_2class_fixed,GM (P=120),0.940500,5.43245162,2.16193990,2000,2000,120
moons_2class_fixed,GM-flat (P=120),0.939000,0.00000000,2.14859019,2000,2000,120
moons_2class_fixed,GM-instance,0.943000,0.16503944,9.46531363,2000,2000,2000
moons_2class_fixed,GM-centroid,0.222000,0.00070146,0.13570337,2000,2000,2
moons_2class_fixed,kNN-budget(P=120),0.938500,0.00121357,0.29307623,120,2000,120
