tag,method,acc,t_fit,t_pred,n_train,n_test,K
moons_2class_fixed,Linear,0.796000,0.00401734,0.00036500,1125,2000,-
moons_2class_fixed,kNN,0.899500,0.00144919,0.12047555,1125,2000,-
moons_2class_fixed,LabelSpreading,0.911500,0.00000000,0.02371462,1125,2000,-
moons_2class_fixed,GM (P=112),0.873000,6.02292131,1.27405956,1125,2000,112
moons_2class_fixed,GM-flat (P=112),0.873000,0.00000000,1.18391291,1125,2000,112
moons_2class_fixed,GM-instance,0.899000,0.08408001,4.35793840,1125,2000,1125
moons_2class_fixed,GM-centroid,0.215500,0.00063256,0.10375274,1125,2000,2
moons_2class_fixed,kNN-budget(P=112),0.700500,0.00115549,0.21784523,112,2000,112
moons_2class_fixed,Linear,0.780000,0.00348928,0.00036036,1125,2000,-
moons_2class_fixed,kNN,0.873000,0.00146042,0.10522008,1125,2000,-
moons_2class_fixed,LabelSpreading,0.892000,0.00000000,0.01437422,1125,2000,-
moons_2class_fixed,GM (P=112),0.870500,0.47596081,0.34028879,1125,2000,112
moons_2class_fixed,GM-flat (P=112),0.879500,0.00000000,0.39592071,1125,2000,112
moons_2class_fixed,GM-instance,0.872500,0.05471892,2.54355396,1125,2000,1125
moons_2class_fixed,GM-centroid,0.212500,0.00093727,0.07283700,1125,2000,2
moons_2class_fixed,kNN-budget(P=112),0.695000,0.00108813,0.09648562,112,2000,112
moons_2class_fixed,Linear,0.784500,0.12104972,0.00061323,1125,2000,-
moons_2class_fixed,kNN,0.882500,0.00240520,0.12208576,1125,2000,-
moons_2class_fixed,LabelSpreading,0.882000,0.00000000,0.02275211,1125,2000,-
moons_2class_fixed,GM (P=112),0.898500,1.11287415,1.36762833,1125,2000,112
moons_2class_fixed,GM-flat (P=112),0.899500,0.00000000,1.47176873,1125,2000,112
moons_2class_fixed,GM-instance,0.882500,0.10053738,3.71379926,1125,2000,1125
moons_2class_fixed,GM-centroid,0.213000,0.00035488,0.13516027,1125,2000,2
moons_2class_fixed,kNN-budget(P=112),0.723500,0.00121495,0.09714058,112,2000,112
moons_2class_fixed,Linear,0.771500,0.00294412,0.00020049,1125,2000,-
moons_2class_fixed,kNN,0.870000,0.00095702,0.07033618,1125,2000,-
moons_2class_fixed,LabelSpreading,0.882000,0.00000000,0.01287465,1125,2000,-
moons_2class_fixed,GM (P=112),0.859500,0.42907245,0.79609003,1125,2000,112
moons_2class_fixed,GM-flat (P=112),0.857500,0.00000000,0.74795387,1125,2000,112
moons_2class_fixed,GM-instance,0.867500,0.05298504,2.51584478,1125,2000,1125
moons_2class_fixed,GM-centroid,0.209000,0.00083030,0.09840659,1125,2000,2
moons_2class_fixed,kNN-budget(P=112),0.690500,0.00120626,0.08843351,112,2000,112
moons_2class_fixed,Linear,0.767000,0.14593473,0.00040113,1125,2000,-
moons_2class_fixed,kNN,0.874000,0.00145322,0.18676103,1125,2000,-
moons_2class_fixed,LabelSpreading,0.875500,0.00000000,0.03212018,1125,2000,-
moons_2class_fixed,GM (P=112),0.852000,2.30226011,1.68600200,1125,2000,112
moons_2class_fixed,GM-flat (P=112),0.856000,0.00000000,0.96845278,1125,2000,112
moons_2class_fixed,GM-instance,0.872500,0.08394108,3.63804831,1125,2000,1125
moons_2class_fixed,GM-centroid,0.211500,0.00040683,0.11685845,1125,2000,2
moons_2class_fixed,kNN-budget(P=112),0.633500,0.00189847,0.12664190,112,2000,112
