tag,method,acc,nll,brier,ece
moons_2class_fixed,Linear,0.886500,0.251487,0.161989,0.033453
moons_2class_fixed,kNN,0.999000,0.002222,0.001490,0.000750
moons_2class_fixed,LabelSpreading,0.999000,0.001843,0.001130,0.000691
moons_2class_fixed,GM,0.898000,0.228613,0.128694,0.093253
moons_2class_fixed,GM-flat,0.898000,0.229970,0.128752,0.097195
moons_2class_fixed,GM-instance,0.999000,0.107440,0.021539,0.100529
moons_2class_fixed,GM-centroid,0.137000,23.845570,1.726000,0.863000
moons_2class_fixed,kNN-budget(P=32),0.870000,0.323090,0.186470,0.122250
circles_2class_fixed,Linear,0.500000,1.156417,0.802042,0.388575
circles_2class_fixed,kNN,1.000000,0.000231,0.000100,0.000200
circles_2class_fixed,LabelSpreading,1.000000,-0.000000,0.000000,0.000000
circles_2class_fixed,GM,0.915000,0.402620,0.254234,0.221096
circles_2class_fixed,GM-flat,0.902500,0.404987,0.256264,0.210686
circles_2class_fixed,GM-instance,1.000000,0.109325,0.032257,0.100160
circles_2class_fixed,GM-centroid,0.489500,14.105637,1.021000,0.510500
circles_2class_fixed,kNN-budget(P=32),0.500000,0.541862,0.399700,0.302700
moons_2class_fixed,Linear,0.824500,0.425689,0.259682,0.072085
moons_2class_fixed,kNN,0.996500,0.031687,0.004710,0.001950
moons_2class_fixed,LabelSpreading,0.997000,0.008692,0.004109,0.002461
moons_2class_fixed,GM,0.852500,0.372312,0.234777,0.222814
moons_2class_fixed,GM-flat,0.852500,0.364102,0.225590,0.178847
moons_2class_fixed,GM-instance,0.996500,0.116771,0.037510,0.100802
moons_2class_fixed,GM-centroid,0.144000,23.652155,1.712000,0.856000
moons_2class_fixed,kNN-budget(P=32),0.500000,0.749506,0.533110,0.333650
circles_2class_fixed,Linear,0.503000,0.693636,0.500489,0.002414
circles_2class_fixed,kNN,1.000000,-0.000000,0.000000,0.000000
circles_2class_fixed,LabelSpreading,1.000000,-0.000000,0.000000,0.000000
circles_2class_fixed,GM,0.999000,0.164302,0.051868,0.149138
circles_2class_fixed,GM-flat,0.999000,0.168502,0.053818,0.152763
circles_2class_fixed,GM-instance,1.000000,0.105362,0.020000,0.100001
circles_2class_fixed,GM-centroid,0.497500,13.884589,1.005000,0.502500
circles_2class_fixed,kNN-budget(P=32),0.808000,0.378656,0.279570,0.137950
circles_2class_fixed,Linear,0.500000,1.156400,0.802036,0.388539
circles_2class_fixed,kNN,1.000000,-0.000000,0.000000,0.000000
circles_2class_fixed,LabelSpreading,1.000000,-0.000000,0.000000,0.000000
circles_2class_fixed,GM,0.500000,0.555589,0.406469,0.372588
circles_2class_fixed,GM-flat,0.500000,0.549326,0.399259,0.371548
circles_2class_fixed,GM-instance,1.000000,0.109151,0.032113,0.100037
circles_2class_fixed,GM-centroid,0.494000,13.981297,1.012000,0.506000
circles_2class_fixed,kNN-budget(P=32),0.500000,0.549899,0.403380,0.342400
circles_2class_fixed,Linear,0.511000,0.693315,0.500168,0.007729
circles_2class_fixed,kNN,1.000000,-0.000000,0.000000,0.000000
circles_2class_fixed,LabelSpreading,1.000000,-0.000000,0.000000,0.000000
circles_2class_fixed,GM,1.000000,0.150303,0.042773,0.138065
circles_2class_fixed,GM-flat,1.000000,0.152311,0.043521,0.139875
circles_2class_fixed,GM-instance,1.000000,0.105404,0.020020,0.100038
circles_2class_fixed,GM-centroid,0.490000,14.091823,1.020000,0.510000
circles_2class_fixed,kNN-budget(P=32),0.848500,0.350311,0.253520,0.120700
circles_2class_fixed,Linear,0.497500,0.693199,0.500052,0.004898
circles_2class_fixed,kNN,1.000000,-0.000000,0.000000,0.000000
circles_2class_fixed,LabelSpreading,1.000000,-0.000000,0.000000,0.000000
circles_2class_fixed,GM,0.999500,0.164855,0.054090,0.148609
circles_2class_fixed,GM-flat,0.999500,0.167164,0.054634,0.150856
circles_2class_fixed,GM-instance,1.000000,0.105362,0.020000,0.100001
circles_2class_fixed,GM-centroid,0.502500,13.746434,0.995000,0.497500
circles_2class_fixed,kNN-budget(P=32),0.758000,0.393760,0.295120,0.168400
moons_2class_fixed,Linear,0.891500,0.240541,0.153539,0.026420
moons_2class_fixed,kNN,0.999500,0.001918,0.001010,0.000950
moons_2class_fixed,LabelSpreading,0.999000,0.002614,0.001641,0.000982
moons_2class_fixed,GM,0.934000,0.209607,0.108220,0.091510
moons_2class_fixed,GM-flat,0.933000,0.212287,0.109547,0.105279
moons_2class_fixed,GM-instance,0.999500,0.107507,0.021378,0.101087
moons_2class_fixed,GM-centroid,0.133500,23.942280,1.733000,0.866500
moons_2class_fixed,kNN-budget(P=32),0.879000,0.332382,0.189160,0.153000
circles_2class_fixed,Linear,0.500000,1.156668,0.802140,0.388677
circles_2class_fixed,kNN,1.000000,-0.000000,0.000000,0.000000
circles_2class_fixed,LabelSpreading,1.000000,-0.000000,0.000000,0.000000
circles_2class_fixed,GM,0.961500,0.400945,0.252447,0.267909
circles_2class_fixed,GM-flat,0.928000,0.406768,0.258127,0.237105
circles_2class_fixed,GM-instance,1.000000,0.109153,0.032115,0.100039
circles_2class_fixed,GM-centroid,0.517500,13.331968,0.965000,0.482500
circles_2class_fixed,kNN-budget(P=32),0.500000,0.541932,0.394920,0.367400
moons_2class_fixed,Linear,0.877500,0.261603,0.169282,0.037462
moons_2class_fixed,kNN,0.998000,0.017612,0.003540,0.001600
moons_2class_fixed,LabelSpreading,0.998000,0.007551,0.003610,0.001785
moons_2class_fixed,GM,0.891000,0.242776,0.138748,0.077798
moons_2class_fixed,GM-flat,0.893000,0.243112,0.137670,0.075484
moons_2class_fixed,GM-instance,0.998000,0.109368,0.023073,0.099530
moons_2class_fixed,GM-centroid,0.143500,23.665968,1.713000,0.856500
moons_2class_fixed,kNN-budget(P=32),0.877500,0.314104,0.182180,0.078700
moons_2class_fixed,Linear,0.828000,0.413352,0.257155,0.070956
moons_2class_fixed,kNN,0.998000,0.005696,0.003360,0.000500
moons_2class_fixed,LabelSpreading,0.997000,0.006992,0.004284,0.002176
moons_2class_fixed,GM,0.896500,0.328314,0.195567,0.180636
moons_2class_fixed,GM-flat,0.896500,0.323914,0.191270,0.201877
moons_2class_fixed,GM-instance,0.997500,0.115611,0.036933,0.101477
moons_2class_fixed,GM-centroid,0.126500,24.135696,1.747000,0.873500
moons_2class_fixed,kNN-budget(P=32),0.500000,0.834821,0.567870,0.360750
moons_2class_fixed,Linear,0.826500,0.434949,0.262445,0.077700
moons_2class_fixed,kNN,0.997000,0.019728,0.004540,0.001900
moons_2class_fixed,LabelSpreading,0.998500,0.006064,0.002640,0.001855
moons_2class_fixed,GM,0.812000,0.374053,0.238067,0.103036
moons_2class_fixed,GM-flat,0.842500,0.363141,0.228069,0.150073
moons_2class_fixed,GM-instance,0.997000,0.118085,0.038555,0.101210
moons_2class_fixed,GM-centroid,0.136500,23.859386,1.727000,0.863500
moons_2class_fixed,kNN-budget(P=32),0.500000,0.701481,0.539800,0.344900
