tag,method,smooth
moons_2class_fixed,GM,0.677513
moons_2class_fixed,GM-flat,0.674298
moons_2class_fixed,kNN,1.864573
moons_2class_fixed,LabelSpreading,11.046118
circles_2class_fixed,GM,0.255293
circles_2class_fixed,GM-flat,0.254420
circles_2class_fixed,kNN,0.714949
circles_2class_fixed,LabelSpreading,3.478387
moons_2class_fixed,GM,0.596317
moons_2class_fixed,GM-flat,0.617351
moons_2class_fixed,kNN,1.533950
moons_2class_fixed,LabelSpreading,12.088532
circles_2class_fixed,GM,0.616013
circles_2class_fixed,GM-flat,0.605422
circles_2class_fixed,kNN,0.835392
circles_2class_fixed,LabelSpreading,3.847483
circles_2class_fixed,GM,0.156916
circles_2class_fixed,GM-flat,0.162428
circles_2class_fixed,kNN,0.725565
circles_2class_fixed,LabelSpreading,3.335213
circles_2class_fixed,GM,0.529505
circles_2class_fixed,GM-flat,0.519793
circles_2class_fixed,kNN,0.838009
circles_2class_fixed,LabelSpreading,3.706869
circles_2class_fixed,GM,0.593318
circles_2class_fixed,GM-flat,0.580041
circles_2class_fixed,kNN,0.846282
circles_2class_fixed,LabelSpreading,3.525175
moons_2class_fixed,GM,0.640456
moons_2class_fixed,GM-flat,0.639513
moons_2class_fixed,kNN,1.798801
moons_2class_fixed,LabelSpreading,10.880497
circles_2class_fixed,GM,0.247915
circles_2class_fixed,GM-flat,0.246099
circles_2class_fixed,kNN,0.693456
circles_2class_fixed,LabelSpreading,3.157023
moons_2class_fixed,GM,0.689758
moons_2class_fixed,GM-flat,0.688196
moons_2class_fixed,kNN,2.000850
moons_2class_fixed,LabelSpreading,10.809397
moons_2class_fixed,GM,0.680995
moons_2class_fixed,GM-flat,0.689187
moons_2class_fixed,kNN,1.626175
moons_2class_fixed,LabelSpreading,11.729566
moons_2class_fixed,GM,0.626430
moons_2class_fixed,GM-flat,0.637709
moons_2class_fixed,kNN,1.603856
moons_2class_fixed,LabelSpreading,11.769602
