tag,method,acc,t_fit,t_pred,n_train,n_test,K
moons_2class_fixed,Linear,0.886500,0.04874254,0.00064250,3000,2000,-
moons_2class_fixed,kNN,0.999000,0.00349287,0.18957711,3000,2000,-
moons_2class_fixed,LabelSpreading,0.999000,0.00000000,0.05354912,3000,2000,-
moons_2class_fixed,GM,0.898000,6.84014281,0.38812470,3000,2000,32
moons_2class_fixed,GM-flat,0.898000,0.00000000,0.44018890,3000,2000,32
moons_2class_fixed,GM-instance,0.999000,0.40980265,13.10016819,3000,2000,3000
moons_2class_fixed,GM-centroid,0.137000,0.00085845,0.15193258,3000,2000,2
moons_2class_fixed,kNN-budget(P=32),0.870000,0.00122462,0.11838070,32,2000,32
circles_2class_fixed,Linear,0.500000,0.00458739,0.00031174,1688,2000,-
circles_2class_fixed,kNN,1.000000,0.00168465,0.15569179,1688,2000,-
circles_2class_fixed,LabelSpreading,1.000000,0.00000000,0.02420127,1688,2000,-
circles_2class_fixed,GM,0.915000,4.34085378,0.32030080,1688,2000,32
circles_2class_fixed,GM-flat,0.902500,0.00000000,0.33281610,1688,2000,32
circles_2class_fixed,GM-instance,1.000000,0.17311991,7.53469125,1688,2000,1688
circles_2class_fixed,GM-centroid,0.489500,0.00075302,0.09261530,1688,2000,2
circles_2class_fixed,kNN-budget(P=32),0.500000,0.00113901,0.10964490,32,2000,32
moons_2class_fixed,Linear,0.824500,0.12318733,0.00068348,1688,2000,-
moons_2class_fixed,kNN,0.996500,0.00285560,0.18697646,1688,2000,-
moons_2class_fixed,LabelSpreading,0.997000,0.00000000,0.04127625,1688,2000,-
moons_2class_fixed,GM,0.852500,5.25631726,0.07619668,1688,2000,32
moons_2class_fixed,GM-flat,0.852500,0.00000000,0.13124539,1688,2000,32
moons_2class_fixed,GM-instance,0.996500,0.08253690,6.98163154,1688,2000,1688
moons_2class_fixed,GM-centroid,0.144000,0.00067190,0.11161393,1688,2000,2
moons_2class_fixed,kNN-budget(P=32),0.500000,0.00119326,0.10325420,32,2000,32
circles_2class_fixed,Linear,0.503000,0.00478391,0.00040188,3000,2000,-
circles_2class_fixed,kNN,1.000000,0.00335326,0.09225581,3000,2000,-
circles_2class_fixed,LabelSpreading,1.000000,0.00000000,0.05170171,3000,2000,-
circles_2class_fixed,GM,0.999000,7.69413128,0.63147836,3000,2000,32
circles_2class_fixed,GM-flat,0.999000,0.00000000,0.60088496,3000,2000,32
circles_2class_fixed,GM-instance,1.000000,0.89458035,13.02054782,3000,2000,3000
circles_2class_fixed,GM-centroid,0.497500,0.00082032,0.06579521,3000,2000,2
circles_2class_fixed,kNN-budget(P=32),0.808000,0.00138562,0.21459946,32,2000,32
circles_2class_fixed,Linear,0.500000,0.03071600,0.00043526,1688,2000,-
circles_2class_fixed,kNN,1.000000,0.00191966,0.21827632,1688,2000,-
