tag,method,acc,t_fit,t_pred,n_train,n_test,K
moons_2class_fixed,Linear,0.862000,0.00254565,0.00019952,1800,2000,-
moons_2class_fixed,kNN,0.949000,0.00110092,0.06869618,1800,2000,-
moons_2class_fixed,LabelSpreading,0.951500,0.00000000,0.02304469,1800,2000,-
moons_2class_fixed,GM,0.948500,0.77337935,0.14681966,1800,2000,180
moons_2class_fixed,GM-flat,0.949000,0.00000000,0.13774018,1800,2000,180
moons_2class_fixed,GM-instance,0.950500,0.05968936,0.60013507,1800,2000,1800
moons_2class_fixed,GM-centroid,0.846500,0.00044235,0.10214664,1800,2000,2
moons_2class_fixed,GM→LP(sklearn),0.951500,0.00000000,0.02304469,1800,2000,1800
circles_2class_fixed,Linear,0.500000,0.00210423,0.00019904,1012,2000,-
circles_2class_fixed,kNN,0.997500,0.00094717,0.06674825,1012,2000,-
circles_2class_fixed,LabelSpreading,0.997500,0.00000000,0.02014602,1012,2000,-
circles_2class_fixed,GM,0.985000,0.29319548,0.12847068,1012,2000,101
circles_2class_fixed,GM-flat,0.985000,0.00000000,0.12161492,1012,2000,101
circles_2class_fixed,GM-instance,0.997500,0.02327292,0.32474927,1012,2000,1012
circles_2class_fixed,GM-centroid,0.493000,0.00040089,0.10260037,1012,2000,2
circles_2class_fixed,GM→LP(sklearn),0.997500,0.00000000,0.02014602,1012,2000,1012
moons_2class_fixed,Linear,0.779500,0.00267301,0.00020096,1012,2000,-
moons_2class_fixed,kNN,0.862500,0.00086153,0.06396858,1012,2000,-
moons_2class_fixed,LabelSpreading,0.865500,0.00000000,0.01747202,1012,2000,-
moons_2class_fixed,GM,0.839500,0.28654007,0.12917342,1012,2000,101
moons_2class_fixed,GM-flat,0.841500,0.00000000,0.32788239,1012,2000,101
moons_2class_fixed,GM-instance,0.861000,0.01987313,0.38402033,1012,2000,1012
moons_2class_fixed,GM-centroid,0.847500,0.00039553,0.10148087,1012,2000,2
moons_2class_fixed,GM→LP(sklearn),0.865500,0.00000000,0.01747202,1012,2000,1012
circles_2class_fixed,Linear,0.495000,0.00150642,0.00016104,1800,2000,-
circles_2class_fixed,kNN,0.999000,0.00098351,0.06380036,1800,2000,-
circles_2class_fixed,LabelSpreading,0.999000,0.00000000,0.02050201,1800,2000,-
circles_2class_fixed,GM,0.999000,0.76938219,0.14072810,1800,2000,180
circles_2class_fixed,GM-flat,0.999000,0.00000000,0.13731615,1800,2000,180
circles_2class_fixed,GM-instance,0.998500,0.05760410,0.59183312,1800,2000,1800
circles_2class_fixed,GM-centroid,0.495000,0.00035435,0.10074189,1800,2000,2
circles_2class_fixed,GM→LP(sklearn),0.999000,0.00000000,0.02050201,1800,2000,1800
circles_2class_fixed,Linear,0.500000,0.00205634,0.00020084,1012,2000,-
circles_2class_fixed,kNN,0.991000,0.00092356,0.06563878,1012,2000,-
circles_2class_fixed,LabelSpreading,0.991000,0.00000000,0.01925400,1012,2000,-
circles_2class_fixed,GM,0.975500,0.28619809,0.12665368,1012,2000,101
circles_2class_fixed,GM-flat,0.979000,0.00000000,0.12061951,1012,2000,101
circles_2class_fixed,GM-instance,0.990500,0.02405944,0.32307383,1012,2000,1012
circles_2class_fixed,GM-centroid,0.497500,0.00039026,0.10093733,1012,2000,2
circles_2class_fixed,GM→LP(sklearn),0.991000,0.00000000,0.01925400,1012,2000,1012
circles_2class_fixed,Linear,0.499000,0.00187903,0.00020492,1800,2000,-
circles_2class_fixed,kNN,0.999000,0.00113780,0.06606811,1800,2000,-
circles_2class_fixed,LabelSpreading,0.999000,0.00000000,0.02165442,1800,2000,-
circles_2class_fixed,GM,0.999000,0.76456128,0.14148491,1800,2000,180
circles_2class_fixed,GM-flat,0.999000,0.00000000,0.13817110,1800,2000,180
circles_2class_fixed,GM-instance,0.999000,0.05779018,0.58993321,1800,2000,1800
circles_2class_fixed,GM-centroid,0.499000,0.00035580,0.10168593,1800,2000,2
circles_2class_fixed,GM→LP(sklearn),0.999000,0.00000000,0.02165442,1800,2000,1800
circles_2class_fixed,Linear,0.497500,0.00170944,0.00017952,1800,2000,-
circles_2class_fixed,kNN,0.997500,0.00099277,0.06647998,1800,2000,-
circles_2class_fixed,LabelSpreading,0.997000,0.00000000,0.02099261,1800,2000,-
circles_2class_fixed,GM,0.997000,0.77778418,0.14015064,1800,2000,180
circles_2class_fixed,GM-flat,0.996500,0.00000000,0.13994564,1800,2000,180
circles_2class_fixed,GM-instance,0.997500,0.05665340,0.58807863,1800,2000,1800
circles_2class_fixed,GM-centroid,0.498000,0.00032973,0.10324239,1800,2000,2
circles_2class_fixed,GM→LP(sklearn),0.997000,0.00000000,0.02099261,1800,2000,1800
moons_2class_fixed,Linear,0.867500,0.00275462,0.00018883,1800,2000,-
moons_2class_fixed,kNN,0.938000,0.00101150,0.06595373,1800,2000,-
moons_2class_fixed,LabelSpreading,0.938500,0.00000000,0.02188561,1800,2000,-
moons_2class_fixed,GM,0.939500,0.76519220,0.14235733,1800,2000,180
moons_2class_fixed,GM-flat,0.941500,0.00000000,0.13937906,1800,2000,180
moons_2class_fixed,GM-instance,0.938000,0.05841392,0.58919944,1800,2000,1800
moons_2class_fixed,GM-centroid,0.853500,0.00045658,0.10086295,1800,2000,2
moons_2class_fixed,GM→LP(sklearn),0.938500,0.00000000,0.02188561,1800,2000,1800
circles_2class_fixed,Linear,0.500000,0.00236983,0.00019867,1012,2000,-
circles_2class_fixed,kNN,0.987500,0.00091938,0.06468840,1012,2000,-
circles_2class_fixed,LabelSpreading,0.987500,0.00000000,0.01975165,1012,2000,-
circles_2class_fixed,GM,0.954500,0.28107892,0.12264155,1012,2000,101
circles_2class_fixed,GM-flat,0.956000,0.00000000,0.11952218,1012,2000,101
circles_2class_fixed,GM-instance,0.987500,0.02454795,0.31565716,1012,2000,1012
circles_2class_fixed,GM-centroid,0.494500,0.00027905,0.09939700,1012,2000,2
circles_2class_fixed,GM→LP(sklearn),0.987500,0.00000000,0.01975165,1012,2000,1012
moons_2class_fixed,Linear,0.856000,0.00291211,0.00019683,1800,2000,-
moons_2class_fixed,kNN,0.936500,0.00109649,0.06504783,1800,2000,-
moons_2class_fixed,LabelSpreading,0.938500,0.00000000,0.02301331,1800,2000,-
moons_2class_fixed,GM,0.935500,0.75579392,0.14770598,1800,2000,180
moons_2class_fixed,GM-flat,0.934000,0.00000000,0.13813562,1800,2000,180
moons_2class_fixed,GM-instance,0.937000,0.06066685,0.60675206,1800,2000,1800
moons_2class_fixed,GM-centroid,0.842500,0.00044870,0.10713812,1800,2000,2
moons_2class_fixed,GM→LP(sklearn),0.938500,0.00000000,0.02301331,1800,2000,1800
moons_2class_fixed,Linear,0.773000,0.00264928,0.00019074,1012,2000,-
moons_2class_fixed,kNN,0.886500,0.00083889,0.06694942,1012,2000,-
moons_2class_fixed,LabelSpreading,0.890000,0.00000000,0.01840538,1012,2000,-
moons_2class_fixed,GM,0.878000,0.28637184,0.12853503,1012,2000,101
moons_2class_fixed,GM-flat,0.873000,0.00000000,0.12166547,1012,2000,101
moons_2class_fixed,GM-instance,0.880000,0.02423308,0.47524815,1012,2000,1012
moons_2class_fixed,GM-centroid,0.860500,0.00040282,0.10157015,1012,2000,2
moons_2class_fixed,GM→LP(sklearn),0.890000,0.00000000,0.01840538,1012,2000,1012
moons_2class_fixed,Linear,0.763000,0.00247428,0.00021190,1012,2000,-
moons_2class_fixed,kNN,0.849000,0.00094729,0.06790400,1012,2000,-
moons_2class_fixed,LabelSpreading,0.857000,0.00000000,0.01975184,1012,2000,-
moons_2class_fixed,GM,0.837000,0.28359794,0.12915395,1012,2000,101
moons_2class_fixed,GM-flat,0.834500,0.00000000,0.12013257,1012,2000,101
moons_2class_fixed,GM-instance,0.843000,0.02471963,0.32157348,1012,2000,1012
moons_2class_fixed,GM-centroid,0.849500,0.00040124,0.10022021,1012,2000,2
moons_2class_fixed,GM→LP(sklearn),0.857000,0.00000000,0.01975184,1012,2000,1012
