tag,method,acc,t_fit,t_pred,n_train,n_test,K
moons_2class_fixed,Linear,0.859062,0.00352496,0.00018938,4800,3200,-
moons_2class_fixed,kNN,0.935000,0.00205680,0.09989897,4800,3200,-
moons_2class_fixed,LabelSpreading,0.931562,0.00000000,0.02716359,4800,3200,-
moons_2class_fixed,GM,0.935625,1.02906878,0.05542187,4800,3200,120
moons_2class_fixed,GM-flat,0.936562,0.00000000,0.08473969,4800,3200,120
moons_2class_fixed,GM-instance,0.938125,0.55808381,1.49730405,4800,3200,4800
moons_2class_fixed,GM-centroid,0.852500,0.00069981,0.05433252,4800,3200,2
moons_2class_fixed,kNN-budget(P=120),0.910937,0.00096750,0.10514178,120,3200,120
circles_2class_fixed,Linear,0.500000,0.00253611,0.00020756,2700,3200,-
circles_2class_fixed,kNN,0.996875,0.00152954,0.09938513,2700,3200,-
circles_2class_fixed,LabelSpreading,0.996563,0.00000000,0.02057656,2700,3200,-
circles_2class_fixed,GM,0.985000,0.60857299,0.45103114,2700,3200,120
circles_2class_fixed,GM-flat,0.986250,0.00000000,0.42403456,2700,3200,120
circles_2class_fixed,GM-instance,0.996875,0.21466998,8.48366519,2700,3200,2700
circles_2class_fixed,GM-centroid,0.489375,0.00074699,0.05655251,2700,3200,2
circles_2class_fixed,kNN-budget(P=120),0.759687,0.00099429,0.09780057,120,3200,120
moons_2class_fixed,Linear,0.784687,0.00287183,0.00018188,2700,3200,-
moons_2class_fixed,kNN,0.884375,0.00136545,0.10200695,2700,3200,-
moons_2class_fixed,LabelSpreading,0.885938,0.00000000,0.02055025,2700,3200,-
moons_2class_fixed,GM,0.860625,0.59178883,0.07649158,2700,3200,120
moons_2class_fixed,GM-flat,0.856875,0.00000000,0.08508452,2700,3200,120
moons_2class_fixed,GM-instance,0.883750,0.22018969,0.45162917,2700,3200,2700
moons_2class_fixed,GM-centroid,0.856563,0.00055177,0.05489267,2700,3200,2
moons_2class_fixed,kNN-budget(P=120),0.762188,0.00098448,0.11095675,120,3200,120
circles_2class_fixed,Linear,0.499063,0.00183994,0.00017377,4800,3200,-
circles_2class_fixed,kNN,0.999687,0.00193953,0.10089018,4800,3200,-
circles_2class_fixed,LabelSpreading,0.998750,0.00000000,0.02676781,4800,3200,-
circles_2class_fixed,GM,0.999375,1.05670044,0.05593581,4800,3200,120
circles_2class_fixed,GM-flat,0.999375,0.00000000,0.08516836,4800,3200,120
circles_2class_fixed,GM-instance,0.998750,0.55901609,1.48551516,4800,3200,4800
circles_2class_fixed,GM-centroid,0.499063,0.00062881,0.05513463,4800,3200,2
circles_2class_fixed,kNN-budget(P=120),0.995000,0.00098986,0.10618383,120,3200,120
circles_2class_fixed,Linear,0.500000,0.00219066,0.00018186,2700,3200,-
circles_2class_fixed,kNN,0.997188,0.00135111,0.10092075,2700,3200,-
circles_2class_fixed,LabelSpreading,0.996250,0.00000000,0.02042469,2700,3200,-
circles_2class_fixed,GM,0.988125,0.60623079,0.05599967,2700,3200,120
circles_2class_fixed,GM-flat,0.988750,0.00000000,0.08527517,2700,3200,120
circles_2class_fixed,GM-instance,0.997188,0.21835307,0.43798633,2700,3200,2700
circles_2class_fixed,GM-centroid,0.502500,0.00043483,0.05482630,2700,3200,2
circles_2class_fixed,kNN-budget(P=120),0.830625,0.00093632,0.11176321,120,3200,120
circles_2class_fixed,Linear,0.490938,0.00203689,0.00018109,4800,3200,-
circles_2class_fixed,kNN,0.998125,0.00197632,0.10493081,4800,3200,-
circles_2class_fixed,LabelSpreading,0.998125,0.00000000,0.02703982,4800,3200,-
circles_2class_fixed,GM,0.997812,1.03783671,0.05653661,4800,3200,120
circles_2class_fixed,GM-flat,0.998125,0.00000000,0.08647221,4800,3200,120
circles_2class_fixed,GM-instance,0.997812,0.55210777,1.47775095,4800,3200,4800
circles_2class_fixed,GM-centroid,0.490625,0.00070833,0.05640371,4800,3200,2
circles_2class_fixed,kNN-budget(P=120),0.996250,0.00099471,0.10966969,120,3200,120
circles_2class_fixed,Linear,0.487812,0.00208389,0.00019698,4800,3200,-
circles_2class_fixed,kNN,0.997500,0.00203738,0.10583019,4800,3200,-
circles_2class_fixed,LabelSpreading,0.996875,0.00000000,0.02673983,4800,3200,-
circles_2class_fixed,GM,0.997500,1.04955393,0.05656548,4800,3200,120
circles_2class_fixed,GM-flat,0.997188,0.00000000,0.08612701,4800,3200,120
circles_2class_fixed,GM-instance,0.997500,0.55691440,1.46874690,4800,3200,4800
circles_2class_fixed,GM-centroid,0.487187,0.00074870,0.05629523,4800,3200,2
circles_2class_fixed,kNN-budget(P=120),0.996563,0.00095862,0.11045707,120,3200,120
moons_2class_fixed,Linear,0.863750,0.00381466,0.00018478,4800,3200,-
moons_2class_fixed,kNN,0.940937,0.00199098,0.11370687,4800,3200,-
moons_2class_fixed,LabelSpreading,0.936250,0.00000000,0.02718047,4800,3200,-
moons_2class_fixed,GM,0.942500,1.08085866,0.35114155,4800,3200,120
moons_2class_fixed,GM-flat,0.943125,0.00000000,0.37604647,4800,3200,120
moons_2class_fixed,GM-instance,0.939375,0.55730834,1.50690452,4800,3200,4800
moons_2class_fixed,GM-centroid,0.852500,0.00072665,0.05754766,4800,3200,2
moons_2class_fixed,kNN-budget(P=120),0.925000,0.00097303,0.11410840,120,3200,120
circles_2class_fixed,Linear,0.500000,0.00248256,0.00019925,2700,3200,-
circles_2class_fixed,kNN,0.995313,0.00147186,0.10304410,2700,3200,-
circles_2class_fixed,LabelSpreading,0.996250,0.00000000,0.02026825,2700,3200,-
circles_2class_fixed,GM,0.981250,0.61879077,0.05527261,2700,3200,120
