folder,tr,te,imb,alpha,beta,kproto,K,acc,nll,brier,ece,smooth,t_fit,t_pred,n_train,n_test
runs_idc_ablate/idc_tr10000_te10000_imb1_a0.1_b0.1_k128,10000,10000,1.0,0.1,0.1,128.0,128.0,0.856173,0.75259,0.24443,0.108681,0.39759,437.93463073,2.41344688,18000.0,13850.0
runs_idc_ablate/idc_tr10000_te10000_imb1_a0.1_b0.1_k256,10000,10000,1.0,0.1,0.1,256.0,256.0,0.862455,0.974797,0.238783,0.100347,0.39099,421.2822919,3.16817056,18000.0,13850.0
runs_idc_ablate/idc_tr10000_te10000_imb1_a0.1_b0.1_k32,10000,10000,1.0,0.1,0.1,32.0,32.0,0.855018,0.517253,0.240241,0.101105,0.386485,151.33029079,1.50262433,18000.0,13850.0
runs_idc_ablate/idc_tr10000_te10000_imb1_a0.1_b0.1_k512,10000,10000,1.0,0.1,0.1,512.0,512.0,0.857762,1.516051,0.252295,0.119719,0.412042,774.50553222,6.84381248,18000.0,13850.0
runs_idc_ablate/idc_tr10000_te10000_imb1_a0.1_b0.1_k64,10000,10000,1.0,0.1,0.1,64.0,64.0,0.84491,0.629455,0.259829,0.114717,0.403943,524.53738367,2.94751772,18000.0,13850.0
runs_idc_ablate/idc_tr10000_te10000_imb1_a0.1_b0.2_k128,10000,10000,1.0,0.1,0.2,128.0,128.0,0.855162,0.826137,0.253649,0.116345,0.40902,411.82471988,3.47981671,18000.0,13850.0
runs_idc_ablate/idc_tr10000_te10000_imb1_a0.1_b0.2_k256,10000,10000,1.0,0.1,0.2,256.0,256.0,0.863032,1.00024,0.241212,0.10212,0.395236,933.24333309,5.60273366,18000.0,13850.0
runs_idc_ablate/idc_tr10000_te10000_imb1_a0.1_b0.2_k32,10000,10000,1.0,0.1,0.2,32.0,32.0,0.85639,0.5642,0.250709,0.113203,0.400937,208.10349433,0.66580393,18000.0,13850.0
runs_idc_ablate/idc_tr10000_te10000_imb1_a0.1_b0.2_k512,10000,10000,1.0,0.1,0.2,512.0,512.0,0.857834,1.524796,0.253357,0.12056,0.413249,226.60379322,3.72340461,18000.0,13850.0
runs_idc_ablate/idc_tr10000_te10000_imb1_a0.1_b0.2_k64,10000,10000,1.0,0.1,0.2,64.0,64.0,0.846065,0.69209,0.271097,0.125887,0.419257,255.95997825,0.58990303,18000.0,13850.0
